"Consumer Price Index by product group, monthly, percentage change, not seasonally adjusted, Canada, provinces, Whitehorse, Yellowknife and Iqaluit 1 2 3",,,,,,
Monthly,,,,,,
Table: 18-10-0004-13 (formerly CANSIM 326-0020),,,,,,
"Geography: Canada, Province or territory, Census subdivision, Census metropolitan area, Census metropolitan area part",,,,,,
,,,,,,
Geography,Products and product groups3 4,Apr-19,Mar-20,Apr-20,March 2020 to April 2020,April 2019 to April 2020
Canada,,2002=100,,,Percentage change,
,All-items,136,136.6,135.7,-0.7,-0.2
,Food 5,149,152.8,154,0.8,3.4
,Shelter 6,144.1,146.5,146,-0.3,1.3
,"Household operations, furnishings and equipment",123.8,123.7,124.2,0.4,0.3
,Clothing and footwear,97.2,99,93.2,-5.9,-4.1
,Transportation,143,138.9,136.7,-1.6,-4.4
,Health and personal care,127.1,128.6,128.7,0.1,1.3
,"Recreation, education and reading",115.8,116,115,-0.9,-0.7
,"Alcoholic beverages, tobacco products and recreational cannabis",171.3,171.5,172.1,0.3,0.5
,All-items excluding food,133.4,133.5,132.3,-0.9,-0.8
,All-items excluding food and energy 7,130.1,132.2,131.8,-0.3,1.3
,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis",134.8,135.5,134.6,-0.7,-0.1
,All-items excluding energy 7,133.5,135.8,135.7,-0.1,1.6
,All-items excluding gasoline,134.2,136.3,136,-0.2,1.3
,Energy 7,168.2,140.6,128.3,-8.7,-23.7
,Goods 8,123.7,122,120.2,-1.5,-2.8
,Durable goods 8,91.8,92.2,92.5,0.3,0.8
,Semi-durable goods 8,99.3,100.7,96.1,-4.6,-3.2
,Non-durable goods 8,149.4,144.7,142.5,-1.5,-4.6
,Services 9,148.1,151.1,151.1,0,2
,,,,,,
Symbol legend:,,,,,,
,,,,,,
Footnotes:,,,,,,
1,"The Consumer Price Index (CPI) is not a cost-of-living index. The objective behind a cost-of-living index is to measure changes in expenditures necessary for consumers to maintain a constant standard of living. The idea is that consumers would normally switch between products as the price relationship of goods changes. If, for example, consumers get the same satisfaction from drinking tea as they do from coffee, then it is possible to substitute tea for coffee if the price of tea falls relative to the price of coffee. The cheaper of the interchangeable products may be chosen. We could compute a cost-of-living index for an individual if we had complete information about that person's taste and spending habits. To do this for a large number of people, let alone the total population of Canada, is impossible. For this reason, regularly published price indexes are based on the fixed-basket concept rather than the cost-of-living concept.",,,,,
2,This table replaces table 18-10-0008-01 which was archived with the release of April 2007 data.,,,,,
3,"Due to the impact of COVID-19 on product availability in the month of April 2020, select sub-components of the Consumer Price Index (CPI) received temporary special imputations. The following sub-indexes were imputed from the All-items index: some components of child care services; housekeeping services; personal care services; travel tours; spectator entertainment; and use of recreational facilities. Select sub-components of the air transportation index were imputed from the parent index. The indexes, beer purchased from licensed establishments, wine purchased from licensed establishments and, liquor purchased from licensed establishments were imputed from their counterpart indexes: beer purchased from stores, wine purchased from stores, and liquor purchased from stores. Prices missing due to high levels of out-of-stock products or the temporary closure of businesses were imputed with the average price movement using available prices for those items. For more information on the technical details of the April 2020 CPI, please see: Technical Supplement for the April 2020 Consumer Price Index.",,,,,
4,"The goods and services that make up the Consumer Price Index (CPI) are organized according to a hierarchical structure with the ""all-items CPI"" as the top level. Eight major components of goods and services make up the ""all-items CPI"". They are: ""food"", ""shelter"", ""household operations, furnishings and equipment"", ""clothing and footwear"", ""transportation"", ""health and personal care"", ""recreation, education and reading"", and ""alcoholic beverages, tobacco products and recreational cannabis"". These eight components are broken down into a varying number of sub-groups which are in turn broken down into other sub-groups. Indents are used to identify the components that make up each level of aggregation. For example, the eight major components appear with one indent relative to the ""all-items CPI"" to show that they are combined to obtain the ""all-items CPI"". NOTE: Some items are recombined outside the main structure of the CPI to obtain special aggregates such as ""all-items excluding food and energy"", ""energy"", ""goods"", ""services"", or ""fresh fruit and vegetables"". They are listed after the components of the main structure of the CPI following the last major component entitled ""alcoholic beverages, tobacco products and recreational cannabis"".",,,,,
5,Food includes non-alcoholic beverages.,,,,,
6,"Part of the increase first recorded in the shelter index for Yellowknife for December 2004 inadvertently reflected rent increases that actually occurred earlier. As a result, the change in the shelter index was overstated in December 2004, and was understated in the previous two years. The shelter index series for Yellowknife has been corrected from December 2002. In addition, the Yellowknife All-items Consumer Price Index (CPI) and some Yellowknife special aggregate index series have also changed. Data for Canada and all other provinces and territories were not affected.",,,,,
7,"The special aggregate ""energy"" includes: ""electricity"", ""natural gas"", ""fuel oil and other fuels"", ""gasoline"", and ""fuel, parts and accessories for recreational vehicles"".",,,,,
8,"Goods are physical or tangible commodities usually classified according to their life span into non-durable goods, semi-durable goods and durable goods. Non-durable goods are those goods that can be used up entirely in less than a year, assuming normal usage. For example, fresh food products, disposable cameras and gasoline are non-durable goods. Semi-durable goods are those goods that may last less than 12 months or greater than 12 months depending on the purpose to which they are put. For example, clothing, footwear and household textiles are semi-durable goods. Durable goods are those goods which may be used repeatedly or continuously over more than a year, assuming normal usage. For example, cars, audio and video equipment and furniture are durable goods.",,,,,
