"Consumer Price Index (CPI) statistics, alternative measures, unadjusted and seasonally adjusted, Bank of Canada 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 10-10-0106-01 (formerly CANSIM 176-0003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative measures,Nov-79,Dec-79,Jan-80,Feb-80,Mar-80,Apr-80,May-80,Jun-80,Jul-80,Aug-80,Sep-80,Oct-80,Nov-80,Dec-80,Jan-81,Feb-81,Mar-81,Apr-81,May-81,Jun-81,Jul-81,Aug-81,Sep-81,Oct-81,Nov-81,Dec-81,Jan-82,Feb-82,Mar-82,Apr-82,May-82,Jun-82,Jul-82,Aug-82,Sep-82,Oct-82,Nov-82,Dec-82,Jan-83,Feb-83,Mar-83,Apr-83,May-83,Jun-83,Jul-83,Aug-83,Sep-83,Oct-83,Nov-83,Dec-83,Jan-84,Feb-84,Mar-84,Apr-84,May-84,Jun-84,Jul-84,Aug-84,Sep-84,Oct-84,Nov-84,Dec-84,Jan-85,Feb-85,Mar-85,Apr-85,May-85,Jun-85,Jul-85,Aug-85,Sep-85,Oct-85,Nov-85,Dec-85,Jan-86,Feb-86,Mar-86,Apr-86,May-86,Jun-86,Jul-86,Aug-86,Sep-86,Oct-86,Nov-86,Dec-86,Jan-87,Feb-87,Mar-87,Apr-87,May-87,Jun-87,Jul-87,Aug-87,Sep-87,Oct-87,Nov-87,Dec-87,Jan-88,Feb-88,Mar-88,Apr-88,May-88,Jun-88,Jul-88,Aug-88,Sep-88,Oct-88,Nov-88,Dec-88,Jan-89,Feb-89,Mar-89,Apr-89,May-89,Jun-89,Jul-89,Aug-89,Sep-89,Oct-89,Nov-89,Dec-89,Jan-90,Feb-90,Mar-90,Apr-90,May-90,Jun-90,Jul-90,Aug-90,Sep-90,Oct-90,Nov-90,Dec-90,Jan-91,Feb-91,Mar-91,Apr-91,May-91,Jun-91,Jul-91,Aug-91,Sep-91,Oct-91,Nov-91,Dec-91,Jan-92,Feb-92,Mar-92,Apr-92,May-92,Jun-92,Jul-92,Aug-92,Sep-92,Oct-92,Nov-92,Dec-92,Jan-93,Feb-93,Mar-93,Apr-93,May-93,Jun-93,Jul-93,Aug-93,Sep-93,Oct-93,Nov-93,Dec-93,Jan-94,Feb-94,Mar-94,Apr-94,May-94,Jun-94,Jul-94,Aug-94,Sep-94,Oct-94,Nov-94,Dec-94,Jan-95,Feb-95,Mar-95,Apr-95,May-95,Jun-95,Jul-95,Aug-95,Sep-95,Oct-95,Nov-95,Dec-95,Jan-96,Feb-96,Mar-96,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20
,"Index, 2002=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.1,62.3,62.7,62.8,63,63.1,63.4,63.5,63.7,63.8,64,64,64,64.4,64.6,64.8,65,65.1,65.3,65.6,65.8,66,66.4,66.4,66.3,66.8,67,67.3,67.8,67.9,68.4,68.8,68.8,69.1,69.4,69.6,69.5,69.8,70.1,70.4,70.6,70.7,71.3,71.5,71.7,72,72.3,72.3,72,72.6,73.1,73.3,73.4,73.4,73.9,74.2,74.3,74.8,75.3,75.4,75.6,76.1,76.6,76.8,77,77.2,77.6,77.8,78,78.3,78.7,78.8,79,79.4,79.7,79.8,80,80.2,80.5,80.8,81,81.5,81.8,81.8,82.6,82.9,83.1,83,83.1,83.2,83.3,83.5,83.6,83.8,84.1,83.8,83.9,84.2,84.5,84.5,84.5,84.5,84.7,84.8,84.8,85,85.4,85.3,85.6,85.9,86,85.9,85.8,85.7,86,86.2,86.5,86.5,87.1,86.9,86.8,87.4,87.4,87.4,87.2,87.3,87.5,87.6,87.9,87.8,88.3,88.5,88.7,89,89.2,89.2,89.4,89.4,89.7,89.9,90.1,90,90.3,90,90.1,90.3,90.5,90.6,90.8,90.6,91,91.1,91.2,91.2,91.6,91.6,91.6,91.7,92.1,92.2,92.2,92.5,92.4,92.5,92.6,92.7,92.5,92.3,92.6,93,93.2,93.2,93.4,93.3,93.5,93.7,93.7,93.9,93.7,93.5,93.5,93.8,94.2,94.5,94.7,94.8,94.9,95.1,95.5,95.4,95.2,95.1,94.9,95.3,95.7,95.7,96,96.2,96.4,96.5,96.7,96.8,96.9,96.9,96.7,97.2,97.3,97.5,97.8,97.9,98.3,98.4,98.6,98.5,98.2,98.1,98,98.6,99,99.4,99.8,100,100.4,100.7,100.8,101,101.2,101.3,101.3,101.9,102.1,102.1,102.3,102.1,102.2,102.4,102.7,102.8,103,102.9,102.8,102.9,103.2,103.3,103.5,103.4,103.6,103.4,103.7,103.7,104.2,104.2,103.9,104.3,104.7,104.4,104.7,104.8,104.7,104.9,105.3,105.2,105.7,105.6,105.4,105.7,106.2,106.2,106.6,106.3,106.7,107,107.6,107.7,107.9,107.8,107.8,108.2,108.7,108.9,109.2,109.2,109.3,109.4,109.9,109.8,109.8,109.6,109.8,110.2,110.4,110.7,111.1,111.1,111.2,111.3,111.7,111.4,112.2,111.9,111.1,111.7,112,112.1,112.5,112.5,112.4,112.4,112.7,112.9,113.1,112.6,112.5,113.3,113,113.4,113.7,113.6,113.2,113.2,113.6,114.1,114.1,113.7,113.5,113.8,114.5,114.5,115.1,114.4,114.4,114.8,115.6,115.7,115.8,115.1,115.2,115.6,116.1,116.6,116.7,116.2,115.8,116,116.4,116.7,116.7,115.9,115.8,116.8,117.1,117.3,117.4,117.3,117.1,117.1,117.5,117.8,117.5,117.1,117.3,118.2,118.6,118.8,119.1,119.1,118.9,119.4,119.7,120.2,119.8,119.3,119.5,120.3,121,121,121.3,121.3,121.3,121.5,121.9,122.2,121.9,121.3,121.6,122.3,123.1,123.3,123.8,123.9,123.7,123.7,124.2,124.4,123.9,123.4,124.2,124.7,125.1,125.1,125.4,125.5,125.5,125.5,125.7,126.1,126.1,125.5,126.1,127,127.5,127.4,127.5,127.7,128.4,128.4,128,128.7,128.3,128.4,128.5,129.5,129.9,130,130.6,130.7,131.2,131.2,130.7,131.3,130.9,130.7,130.9,132,132.1,131.7
"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.8,84,84.4,84.5,84.8,84.9,84.8,84.9,84.8,85,85,85.2,85.5,85.8,86,86,86,85.9,86.1,86.2,86.4,86.5,86.7,86.8,86.7,87.4,87.4,87.4,87.3,87.4,87.4,87.5,87.8,87.8,88.1,88.5,88.7,89,89.1,89.2,89.5,89.7,89.7,89.9,90,90,90.1,90,90.2,90.3,90.4,90.6,90.8,90.8,90.9,91,91.1,91.1,91.5,91.7,91.8,91.8,92,92.2,92.2,92.6,92.3,92.4,92.5,92.6,92.5,92.5,92.9,93,93,93.1,93.3,93.3,93.4,93.6,93.6,93.7,93.7,93.7,93.9,94,94.2,94.5,94.6,94.7,94.7,94.9,95.3,95.2,95.2,95.3,95.3,95.5,95.7,95.7,95.9,96.1,96.2,96.3,96.5,96.6,97,97.1,97.2,97.4,97.4,97.5,97.6,97.8,98,98.2,98.4,98.4,98.2,98.4,98.5,98.8,99,99.4,99.7,99.9,100.2,100.5,100.7,100.9,101.2,101.5,101.8,102,102,102,102.1,102,102,102.2,102.5,102.8,102.9,102.9,103.1,103,103.1,103.2,103.4,103.4,103.5,103.4,103.7,103.8,104,104.2,104.3,104.4,104.5,104.4,104.6,104.8,104.8,105,105.1,105.2,105.5,105.6,105.8,105.9,106.1,106.2,106.4,106.3,106.8,107.1,107.3,107.6,107.7,107.8,108.2,108.4,108.6,108.9,109,109.1,109.4,109.5,109.7,109.6,109.6,109.7,110.2,110.4,110.5,110.7,110.8,111.1,111.2,111.4,111.4,111.2,111.8,111.9,111.5,111.8,111.9,112,112.2,112.4,112.4,112.4,112.4,112.5,112.7,112.7,112.9,113.5,112.9,113.3,113.3,113.7,113.3,113.3,113.4,113.7,113.8,114,114,114,114.3,114.3,114.8,114.4,114.6,114.9,115.4,115.4,115.6,115.5,115.7,115.7,115.8,116.3,116.2,116.1,115.9,116,116.1,116.2,116.4,116.4,116.4,116.9,116.9,117.1,117.1,117.2,117.2,117.2,117.3,117.4,117.5,117.8,118,118.3,118.3,118.5,118.7,118.9,119,119.5,119.5,119.8,119.9,120.1,120.2,120.4,120.7,120.8,121,121.1,121.4,121.6,121.8,121.9,122,122.1,122.3,122.3,122.8,123.1,123.4,123.6,123.7,123.8,124,124,124,124.3,124.8,124.8,124.8,124.8,125,125.2,125.4,125.5,125.5,125.8,126.2,126.4,126.7,127.1,127.1,127.2,127,127.4,127.9,128.1,128.1,128.4,128.6,129.2,129,129.4,129.6,129.9,130.3,130.4,130.7,130.9,131,131.3,131.1,131.3,131.5,131.8,131.8,131.7
,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),9.3,9.4,9.3,9.4,9.3,9.1,9.1,9.3,9.5,9.7,9.8,9.7,9.7,9.8,10.2,10.2,10.2,10.4,10.2,10.4,10.5,10.4,10.1,10.5,10.5,10.3,9.9,10.1,10,10.2,10.5,10.4,10,9.9,9.8,9.5,9.2,9,8.3,7.8,7.3,6.9,6.1,5.5,5.5,5.2,4.9,4.7,4.2,4.3,4.6,4.5,4.4,4.4,4.4,4.1,4,3.7,3.7,3.5,3.8,3.7,3.9,3.8,3.6,3.7,3.8,3.9,3.8,3.9,3.9,3.7,3.7,3.9,3.9,3.6,3.5,3.4,3.6,3.6,3.9,3.8,3.9,4.1,4.2,4.1,4.1,4.1,4.2,4.4,4.4,4.3,4.2,4.2,4.1,4.1,4.1,3.7,3.7,3.8,4,3.9,3.8,3.9,3.9,4,4.1,4.1,4,4.2,4.6,4.7,4.6,4.6,4.7,4.6,4.8,4.5,4.5,4.4,4.3,4.1,4.3,4,4,4,3.8,4.1,4,3.9,4,4.2,4.3,4.2,4.9,4.9,4.7,4.5,4.4,4.2,3.9,3.9,3.6,2.9,2.9,2.6,1.9,1.8,1.8,1.8,1.7,1.5,1.5,1.5,1.4,1.7,1.6,1.9,1.9,1.9,1.7,1.6,1.5,1.5,1.6,1.5,1.7,1.5,1.6,1.5,1.2,1.3,1.3,1.4,1.2,1.3,1.3,1.3,1.3,1.1,1.1,1.4,1.7,1.7,1.9,2,2.2,2.1,2.1,2.1,2,2,1.9,1.5,1.4,1.3,1.3,1.3,1.4,1.4,1.3,1.3,1.4,1.6,1.7,1.9,1.8,1.7,1.8,1.8,1.7,1.8,1.6,1.7,1.5,1.5,1.1,1.1,1.3,1.3,1.2,1.1,1.2,1.1,1.2,1.2,1.1,1.2,1.4,1.2,1.2,1.2,1.3,1.6,1.6,1.5,1.6,1.7,2,1.8,1.6,1.7,1.4,1.6,1.7,1.3,1.4,1.6,1.6,1.5,1.5,1.6,1.8,2,1.9,1.9,1.9,2.3,2.5,2.4,2.4,2.3,2.3,2.1,1.7,1.6,1.9,2.1,2.1,2.1,1.9,1.9,2,2.3,2.3,2.4,2.9,2.4,2.8,2.9,2.7,2.1,2.2,2,1.9,1.7,1.9,1.7,1.7,2.1,1.5,1.2,1.2,1.7,1.8,1.8,1.8,1.6,1.6,1.7,1.8,1.7,1.6,1.7,1.9,1.8,1.6,1.7,1.7,2,2.1,1.9,1.7,1.7,2,1.8,1.8,1.7,2,1.8,2,2,1.8,2,2.1,2,2,2.3,2.3,2.5,2.3,2.4,2.3,2.1,2.2,2.1,2,2,2.1,2.1,1.8,2,2.2,2.6,2.6,2.8,2.9,2.6,2.8,2.6,2.3,2.4,2.4,2,2.1,1.8,1.5,1.4,1.2,1.6,1.7,1.6,1.8,1.6,1.4,1.6,1.4,1.2,1.3,1.3,1.2,1.5,1.1,1.4,1.2,1.1,1.8,1.7,2.1,1.8,1.9,2.1,2.3,2.2,2.1,1.9,2.1,2.2,1.7,2,1.5,1.6,1.4,1.4,1.2,1.2,1.1,1.1,0.9,1.3,1.3,1,1,1.2,1.4,1.3,1.2,1,1.1,1.3,1.5,1.2,1.3,1.6,1.8,1.9,1.7,1.8,1.9,2,2,1.8,1.9,1.9,2,1.8,1.8,1.9,2,1.9,1.8,1.8,1.8,1.8,1.9,1.7,1.7,1.8,1.8,1.8,1.6,1.5,1.5,1.5,1.3,1.4,1.6,1.5,1.2,1.1,0.9,0.8,0.9,0.9,1,1,1.4,1.3,1.4,1.7,1.8,1.9,1.9,2,2.2,2.2,2.1,2.1,1.9,1.9,1.9,2,2.1,2,2.3,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.2,2.1,1.6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..,  not available for a specific reference period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
