Date,Open,High,Low,Close,Adj Close,Volume
21-02-1973,2.5,2.5,2.5,2.5,1.058736,54400
22-02-1973,2.5,2.5,2.5,2.5,1.058736,56000
23-02-1973,2.476563,2.476563,2.476563,2.476563,1.04881,113600
26-02-1973,2.484375,2.484375,2.484375,2.484375,1.052119,280000
27-02-1973,2.46875,2.46875,2.46875,2.46875,1.045502,387200
28-02-1973,2.484375,2.484375,2.484375,2.484375,1.052119,144000
01-03-1973,2.460938,2.460938,2.460938,2.460938,1.042193,80000
02-03-1973,2.46875,2.46875,2.46875,2.46875,1.045502,422400
05-03-1973,2.453125,2.453125,2.453125,2.453125,1.038885,281600
06-03-1973,2.453125,2.453125,2.453125,2.453125,1.038885,184000
07-03-1973,2.429688,2.429688,2.429688,2.429688,1.028959,91200
08-03-1973,2.421875,2.421875,2.421875,2.421875,1.02565,38400
09-03-1973,2.414063,2.414063,2.414063,2.414063,1.022341,140800
12-03-1973,2.40625,2.40625,2.40625,2.40625,1.019033,432000
13-03-1973,2.414063,2.414063,2.414063,2.414063,1.022341,88000
14-03-1973,2.421875,2.421875,2.421875,2.421875,1.02565,48000
15-03-1973,2.429688,2.429688,2.429688,2.429688,1.028959,40000
16-03-1973,2.4375,2.4375,2.4375,2.4375,1.032268,137600
19-03-1973,2.429688,2.429688,2.429688,2.429688,1.028959,155200
20-03-1973,2.414063,2.414063,2.414063,2.414063,1.022341,441600
21-03-1973,2.414063,2.414063,2.414063,2.414063,1.022341,384000
22-03-1973,2.351563,2.351563,2.351563,2.351563,0.995874,225600
23-03-1973,2.296875,2.296875,2.296875,2.296875,0.972713,192000
26-03-1973,2.242188,2.242188,2.242188,2.242188,0.949554,384000
27-03-1973,2.304688,2.304688,2.304688,2.304688,0.976023,304000
28-03-1973,2.328125,2.328125,2.328125,2.328125,0.985948,326400
29-03-1973,2.375,2.375,2.375,2.375,1.005799,329600
30-03-1973,2.359375,2.359375,2.359375,2.359375,0.999181,102400
02-04-1973,2.320313,2.320313,2.320313,2.320313,0.982639,195200
03-04-1973,2.304688,2.304688,2.304688,2.304688,0.976023,73600
04-04-1973,2.265625,2.265625,2.265625,2.265625,0.95948,110400
05-04-1973,2.273438,2.273438,2.273438,2.273438,0.962788,112000
06-04-1973,2.289063,2.289063,2.289063,2.289063,0.969405,136000
09-04-1973,2.289063,2.289063,2.289063,2.289063,0.969405,120000
10-04-1973,2.375,2.375,2.375,2.375,1.005799,196800
11-04-1973,2.445313,2.445313,2.445313,2.445313,1.035576,270400
12-04-1973,2.4375,2.4375,2.4375,2.4375,1.032268,267200
13-04-1973,2.398438,2.398438,2.398438,2.398438,1.015725,112000
16-04-1973,2.375,2.375,2.375,2.375,1.005799,155200
17-04-1973,2.367188,2.367188,2.367188,2.367188,1.002491,30400
18-04-1973,2.367188,2.367188,2.367188,2.367188,1.002491,59200
19-04-1973,2.375,2.375,2.375,2.375,1.005799,134400
23-04-1973,2.328125,2.328125,2.328125,2.328125,0.985948,193600
24-04-1973,2.289063,2.289063,2.289063,2.289063,0.969405,462400
25-04-1973,2.203125,2.203125,2.203125,2.203125,0.93301,504000
26-04-1973,2.203125,2.203125,2.203125,2.203125,0.93301,144000
27-04-1973,2.140625,2.140625,2.140625,2.140625,0.906543,230400
30-04-1973,2.140625,2.140625,2.140625,2.140625,0.906543,97600
01-05-1973,2.171875,2.171875,2.171875,2.171875,0.919777,393600
02-05-1973,2.21875,2.21875,2.21875,2.21875,0.939628,200000
03-05-1973,0,2.351563,2.320313,2.320313,0.982639,176000
04-05-1973,0,2.40625,2.375,2.375,1.005799,246400
07-05-1973,0,2.398438,2.367188,2.367188,1.002491,110400
08-05-1973,0,2.414063,2.382813,2.382813,1.009107,134400
09-05-1973,0,2.398438,2.367188,2.367188,1.002491,75200
10-05-1973,0,2.390625,2.359375,2.359375,0.999181,80000
11-05-1973,0,2.335938,2.304688,2.304688,0.976023,91200
14-05-1973,0,2.25,2.21875,2.21875,0.939628,52800
15-05-1973,0,2.25,2.21875,2.21875,0.939628,225600
16-05-1973,0,2.226563,2.195313,2.195313,0.929702,211200
17-05-1973,0,2.195313,2.164063,2.164063,0.916468,46400
18-05-1973,0,2.132813,2.101563,2.101563,0.89,251200
21-05-1973,0,2.109375,2.078125,2.078125,0.880075,107200
22-05-1973,0,2.132813,2.101563,2.101563,0.89,108800
23-05-1973,0,2.1875,2.15625,2.15625,0.91316,176000
24-05-1973,0,2.28125,2.25,2.25,0.952862,68800
25-05-1973,0,2.304688,2.273438,2.273438,0.962788,132800
29-05-1973,0,2.3125,2.28125,2.28125,0.966096,36800
30-05-1973,0,2.289063,2.257813,2.257813,0.956171,192000
31-05-1973,0,2.25,2.21875,2.21875,0.939628,227200
01-06-1973,0,2.265625,2.234375,2.234375,0.946245,80000
04-06-1973,0,2.242188,2.210938,2.210938,0.93632,92800
05-06-1973,0,2.257813,2.226563,2.226563,0.942937,116800
06-06-1973,0,2.257813,2.226563,2.226563,0.942937,104000
07-06-1973,0,2.265625,2.234375,2.234375,0.946245,67200
