Date,Open,High,Low,Close,Adj Close,Volume
28-06-1990,10.09375,10.09375,9.96875,9.96875,2.507446,176400
29-06-1990,10.03125,10.0625,10,10.0625,2.531028,69200
02-07-1990,10,10.03125,10,10.03125,2.523167,62000
03-07-1990,10.03125,10.0625,10.03125,10.0625,2.531028,29600
05-07-1990,9.71875,9.71875,9.65625,9.6875,2.436704,31200
06-07-1990,9.75,9.75,9.75,9.75,2.452424,21200
09-07-1990,9.8125,9.8125,9.8125,9.8125,2.468145,19600
10-07-1990,9.78125,9.875,9.78125,9.875,2.483866,6400
11-07-1990,9.875,9.9375,9.875,9.9375,2.499587,22400
12-07-1990,9.90625,9.96875,9.90625,9.96875,2.507446,3200
13-07-1990,10.0625,10.125,10.0625,10.125,2.546749,5200
16-07-1990,10.15625,10.25,10.15625,10.25,2.57819,8000
17-07-1990,10.25,10.4375,10.25,10.4375,2.625352,16800
18-07-1990,10.375,10.375,10.3125,10.3125,2.59391,6000
19-07-1990,10.3125,10.34375,10.3125,10.34375,2.601771,18000
20-07-1990,10.34375,10.34375,10.3125,10.3125,2.59391,1600
23-07-1990,10.28125,10.28125,10.28125,10.28125,2.586051,8000
24-07-1990,10.3125,10.3125,10.3125,10.3125,2.59391,800
25-07-1990,10.34375,10.375,10.34375,10.375,2.609632,4400
26-07-1990,10.3125,10.3125,10.3125,10.3125,2.59391,800
27-07-1990,10.25,10.25,10.25,10.25,2.57819,800
30-07-1990,10.28125,10.28125,10.28125,10.28125,2.586051,400
31-07-1990,10.34375,10.4375,10.34375,10.4375,2.625352,12400
01-08-1990,10.4375,10.4375,10.375,10.4375,2.625352,3600
02-08-1990,10.4375,10.4375,10.3125,10.3125,2.59391,12800
03-08-1990,10.40625,10.4375,10.34375,10.34375,2.601771,12800
06-08-1990,10.3125,10.3125,9.875,9.9375,2.499587,41200
07-08-1990,9.9375,9.9375,9.9375,9.9375,2.499587,800
08-08-1990,9.75,9.75,9.6875,9.6875,2.436704,75200
09-08-1990,9.8125,9.8125,9.8125,9.8125,2.468145,12000
10-08-1990,9.90625,9.96875,9.90625,9.90625,2.491725,17600
13-08-1990,9.96875,10.15625,9.96875,10.15625,2.554609,22800
14-08-1990,10.3125,10.375,10.21875,10.3125,2.59391,82800
15-08-1990,10.34375,10.34375,10.25,10.28125,2.586051,5200
16-08-1990,10.1875,10.25,10.1875,10.25,2.57819,20800
17-08-1990,10.25,10.25,9.875,10,2.515307,55200
20-08-1990,9.6875,9.6875,9.625,9.6875,2.436704,9200
21-08-1990,9.4375,9.4375,9.375,9.375,2.358101,8800
22-08-1990,9.3125,9.3125,9.3125,9.3125,2.34238,800
23-08-1990,9.21875,9.21875,9.15625,9.1875,2.310939,7200
24-08-1990,9.1875,9.1875,9.1875,9.1875,2.310939,4800
27-08-1990,9.25,9.25,9.125,9.125,2.295218,6400
28-08-1990,9.1875,9.21875,9.125,9.125,2.295218,11600
29-08-1990,9.1875,9.25,9.125,9.25,2.326659,6800
30-08-1990,9.1875,9.21875,9.1875,9.21875,2.318799,1200
