Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,6.646331,6.428419,6.428419,0.911570,133500
1980-03-18,0.000000,6.918722,6.428419,6.918722,0.981097,224800
1980-03-19,0.000000,6.973200,6.700809,6.700809,0.950196,319300
1980-03-20,0.000000,6.755288,6.646331,6.755288,0.957921,118800
1980-03-21,0.000000,6.755288,6.646331,6.700809,0.950196,100200
1980-03-24,0.000000,6.646331,6.482897,6.537375,0.927021,123900
1980-03-25,0.000000,6.646331,6.428419,6.591853,0.934746,353300
1980-03-26,0.000000,6.809766,6.646331,6.700809,0.950196,83900
1980-03-27,0.000000,6.700809,6.591853,6.591853,0.934746,100000
1980-03-28,0.000000,6.700809,6.646331,6.700809,0.950196,34600
1980-03-31,0.000000,6.918722,6.646331,6.918722,0.981097,75700
1980-04-01,0.000000,7.245591,6.918722,7.191113,1.019723,142700
1980-04-02,0.000000,7.300069,7.136634,7.191113,1.019723,138800
1980-04-03,0.000000,7.354547,7.191113,7.245591,1.027448,394400
1980-04-07,0.000000,7.245591,6.973200,7.027678,0.996547,710800
1980-04-08,0.000000,7.136634,6.973200,7.136634,1.011998,274400
1980-04-09,0.000000,7.354547,7.136634,7.300069,1.035173,293400
1980-04-10,0.000000,7.517981,7.354547,7.517981,1.066073,185100
1980-04-11,0.000000,7.735894,7.517981,7.572459,1.073799,169300
1980-04-14,0.000000,7.626937,7.463503,7.517981,1.066073,237900
1980-04-15,0.000000,7.463503,7.300069,7.409025,1.050623,99300
1980-04-16,0.000000,7.790372,7.463503,7.681416,1.089250,331700
1980-04-17,0.000000,7.953806,7.681416,7.899328,1.120150,157600
1980-04-18,0.000000,7.953806,7.844850,7.953806,1.127875,125700
1980-04-21,0.000000,8.008285,7.899328,8.008285,1.135600,99500
1980-04-22,0.000000,8.062762,7.844850,8.062762,1.143325,129100
1980-04-23,0.000000,8.117241,8.008285,8.008285,1.135600,198400
1980-04-24,0.000000,8.171719,7.953806,8.117241,1.151051,351900
1980-04-25,0.000000,8.117241,8.008285,8.117241,1.151051,59800
1980-04-28,0.000000,8.117241,8.008285,8.062762,1.143325,53200
1980-04-29,0.000000,8.117241,8.062762,8.117241,1.151051,57800
1980-04-30,0.000000,8.171719,8.062762,8.117241,1.151051,353500
1980-05-01,0.000000,8.226197,8.117241,8.117241,1.151051,281300
1980-05-02,0.000000,8.171719,8.062762,8.117241,1.151051,240600
1980-05-05,0.000000,8.226197,8.008285,8.171719,1.158777,225700
1980-05-06,0.000000,8.226197,8.117241,8.226197,1.166501,384700
1980-05-07,0.000000,8.389631,8.171719,8.280675,1.174226,295700
1980-05-08,0.000000,8.280675,8.117241,8.171719,1.158777,67900
1980-05-09,0.000000,8.117241,7.899328,7.953806,1.127875,200900
1980-05-12,0.000000,7.735894,7.517981,7.681416,1.089250,146300
1980-05-13,0.000000,7.844850,7.681416,7.790372,1.104700,93600
1980-05-14,0.000000,7.899328,7.735894,7.899328,1.120150,50700
1980-05-15,0.000000,7.899328,7.626937,7.681416,1.089250,192700
1980-05-16,0.000000,7.681416,7.572459,7.572459,1.073799,50200
1980-05-19,0.000000,7.626937,7.517981,7.572459,1.073799,321000
1980-05-20,0.000000,7.517981,7.300069,7.463503,1.058348,152500
1980-05-21,0.000000,7.517981,7.354547,7.409025,1.050623,805800
1980-05-22,0.000000,7.572459,7.409025,7.572459,1.073799,170900
1980-05-23,0.000000,7.626937,7.517981,7.517981,1.066073,84200
1980-05-27,0.000000,7.735894,7.463503,7.735894,1.096974,508000
1980-05-28,0.000000,7.790372,7.626937,7.681416,1.089250,116100
1980-05-29,0.000000,7.735894,7.517981,7.626937,1.081524,161000
1980-05-30,0.000000,7.626937,7.572459,7.626937,1.081524,104100
1980-06-02,0.000000,7.626937,7.517981,7.517981,1.066073,96300
1980-06-03,0.000000,7.626937,7.517981,7.626937,1.081524,75400
1980-06-04,0.000000,7.735894,7.572459,7.681416,1.089250,118600
1980-06-05,0.000000,7.790372,7.681416,7.735894,1.096974,119500
1980-06-06,0.000000,7.844850,7.681416,7.735894,1.096974,71100
1980-06-09,0.000000,7.844850,7.681416,7.735894,1.096974,107600
1980-06-10,0.000000,7.790372,7.681416,7.735894,1.096974,147700
1980-06-11,0.000000,7.790372,7.681416,7.735894,1.096974,134600
1980-06-12,0.000000,7.899328,7.735894,7.735894,1.096974,88300
1980-06-13,0.000000,8.117241,7.844850,8.117241,1.151051,101400
1980-06-16,0.000000,8.117241,8.008285,8.062762,1.143325,159900
1980-06-17,0.000000,8.335154,8.062762,8.280675,1.174226,199600
1980-06-18,0.000000,8.335154,8.171719,8.280675,1.174226,166500
1980-06-19,0.000000,8.335154,8.226197,8.280675,1.174226,71100
1980-06-20,0.000000,8.226197,8.171719,8.171719,1.158777,85100
1980-06-23,0.000000,8.226197,8.117241,8.171719,1.158777,78200
1980-06-24,0.000000,8.226197,8.117241,8.171719,1.158777,185100
1980-06-25,0.000000,8.226197,8.171719,8.226197,1.166501,68600
1980-06-26,0.000000,8.280675,8.171719,8.226197,1.166501,145000
1980-06-27,0.000000,8.226197,8.062762,8.171719,1.158777,55900
1980-06-30,0.000000,8.171719,7.953806,8.062762,1.143325,76800
1980-07-01,0.000000,8.062762,7.953806,8.062762,1.143325,122000
1980-07-02,0.000000,8.171719,8.008285,8.008285,1.135600,237000
1980-07-03,0.000000,8.117241,8.008285,8.117241,1.151051,117000
1980-07-07,0.000000,8.226197,8.062762,8.171719,1.158777,296900
1980-07-08,0.000000,8.226197,8.117241,8.117241,1.151051,195000
1980-07-09,0.000000,8.171719,8.062762,8.171719,1.158777,69200
1980-07-10,0.000000,8.171719,8.117241,8.117241,1.151051,45600
1980-07-11,0.000000,8.171719,8.117241,8.171719,1.158777,82300
1980-07-14,0.000000,8.171719,8.062762,8.171719,1.158777,273500
1980-07-15,0.000000,8.226197,8.062762,8.062762,1.143325,86200
1980-07-16,0.000000,8.171719,8.062762,8.117241,1.151051,85500
1980-07-17,0.000000,8.171719,7.899328,8.062762,1.143325,1608900
1980-07-18,0.000000,8.062762,7.953806,8.008285,1.135600,53200
1980-07-21,0.000000,8.008285,7.899328,7.953806,1.127875,294600
1980-07-22,0.000000,7.953806,7.899328,7.899328,1.120150,47000
1980-07-23,0.000000,7.899328,7.844850,7.899328,1.120150,146800
1980-07-24,0.000000,7.899328,7.681416,7.790372,1.104700,157400
1980-07-25,0.000000,7.844850,7.790372,7.844850,1.112424,51800
1980-07-28,0.000000,7.899328,7.735894,7.790372,1.104700,74500
1980-07-29,0.000000,7.790372,7.735894,7.790372,1.104700,45600
1980-07-30,0.000000,7.790372,7.681416,7.735894,1.096974,173200
1980-07-31,0.000000,7.790372,7.626937,7.626937,1.081524,726600
