Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU04032342,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment rate - Asian, women",,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,,
Race:,Asian,,,,,,,,,,,,
Sex:,Women,,,,,,,,,,,,
Years:,2000 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,4.5,3.4,3.6,2.9,3.0,5.5,4.2,3.2,3.3,3.1,3.5,2.8,3.6
2001,3.5,3.0,3.1,3.3,3.0,5.0,4.3,6.3,5.2,4.5,5.3,5.8,4.4
2002,4.8,5.0,4.8,5.4,5.7,6.8,5.8,5.7,5.8,6.2,6.2,5.6,5.7
2003,5.6,6.4,6.1,5.8,4.7,6.7,6.4,6.3,5.8,4.5,4.7,5.5,5.7
2004,4.5,5.1,4.5,4.8,4.1,4.8,4.2,3.3,3.6,4.9,3.8,4.3,4.3
2005,4.2,4.6,3.7,2.4,4.2,3.9,5.8,3.7,4.5,3.1,3.7,3.2,3.9
2006,3.1,2.9,2.8,3.5,2.8,3.6,3.1,3.4,3.0,3.0,3.1,2.4,3.1
2007,3.4,2.4,2.8,3.3,2.2,3.1,3.0,3.7,3.7,4.0,4.5,4.0,3.4
2008,2.8,2.9,3.6,2.6,4.5,4.6,3.7,4.4,2.6,3.7,4.8,4.5,3.7
2009,5.1,5.7,5.2,5.2,5.7,8.4,7.6,7.2,7.4,6.7,6.6,7.7,6.6
2010,7.7,6.9,7.4,6.0,6.8,7.9,7.8,7.0,6.2,7.2,7.4,6.9,7.1
2011,6.9,7.3,7.8,7.1,7.5,7.1,7.5,6.9,8.3,7.6,6.7,7.0,7.3
2012,7.0,6.7,5.6,5.1,5.1,6.3,6.2,5.9,5.1,5.9,6.5,7.1,6.1
2013,6.0,6.0,4.1,5.0,4.2,4.8,5.5,4.7,4.9,4.4,4.6,3.6,4.8
2014,3.9,5.7,4.9,4.7,4.8,4.1,4.5,4.4,4.8,5.5,4.3,3.6,4.6
2015,3.7,3.7,2.8,3.5,3.6,4.2,4.4,3.7,3.8,3.2,3.8,3.8,3.7
2016,4.0,3.9,4.5,3.9,3.4,4.2,4.1,4.9,4.4,3.2,2.8,2.9,3.9
2017,3.7,3.0,3.0,3.0,4.0,4.1,3.8,4.3,3.5,3.0,2.9,2.2,3.4
2018,3.2,3.5,2.9,3.0,2.1,3.4,3.1,3.1,3.3,3.5,2.8,2.7,3.0
2019,2.7,3.8,3.1,2.2,2.3,2.1,2.9,2.9,1.8,2.5,2.8,2.7,2.7
2020,3.8,3.0,4.4,15.9,,,,,,,,,
