Category: All categories

Day,Coronavirus: (Worldwide),news: (Worldwide),Weather: (Worldwide),Hand sanitizer: (Worldwide),Lockdown: (Worldwide)
2020-02-13,8,11,31,<1,<1
2020-02-14,7,10,29,<1,<1
2020-02-15,6,10,30,<1,<1
2020-02-16,6,10,32,<1,<1
2020-02-17,6,10,29,<1,<1
2020-02-18,5,10,29,<1,<1
2020-02-19,5,10,29,<1,<1
2020-02-20,5,11,31,<1,<1
2020-02-21,8,10,31,<1,<1
2020-02-22,12,9,31,<1,<1
2020-02-23,18,10,32,<1,<1
2020-02-24,21,12,31,<1,<1
2020-02-25,25,12,31,<1,<1
2020-02-26,30,12,31,<1,<1
2020-02-27,30,12,31,<1,<1
2020-02-28,32,12,30,1,<1
2020-02-29,28,11,32,1,<1
2020-03-01,26,11,30,<1,<1
2020-03-02,33,12,29,1,<1
2020-03-03,33,12,29,1,<1
2020-03-04,34,13,29,1,<1
2020-03-05,37,13,32,2,<1
2020-03-06,37,13,34,1,<1
2020-03-07,34,12,33,1,<1
2020-03-08,38,12,30,1,<1
2020-03-09,46,15,30,1,<1
2020-03-10,54,15,30,2,<1
2020-03-11,65,16,31,2,<1
2020-03-12,93,22,32,3,<1
2020-03-13,94,22,32,3,<1
2020-03-14,88,20,35,3,<1
2020-03-15,99,21,32,3,1
2020-03-16,100,26,27,3,1
2020-03-17,94,24,26,3,1
2020-03-18,90,24,26,3,1
2020-03-19,87,24,27,3,1
2020-03-20,82,25,27,2,2
2020-03-21,85,22,29,2,1
2020-03-22,91,25,27,2,2
2020-03-23,83,26,24,2,2
2020-03-24,75,23,26,1,2
2020-03-25,73,22,25,1,1
2020-03-26,70,20,26,1,1
2020-03-27,73,20,26,1,1
2020-03-28,72,19,28,1,1
2020-03-29,69,19,29,1,1
2020-03-30,59,18,25,1,1
2020-03-31,60,17,27,1,1
2020-04-01,57,17,28,1,1
2020-04-02,56,16,28,1,1
2020-04-03,69,16,27,1,1
2020-04-04,79,16,30,1,1
2020-04-05,77,17,31,1,1
2020-04-06,64,18,26,1,1
2020-04-07,63,17,26,1,1
2020-04-08,61,17,26,1,1
2020-04-09,58,16,27,1,1
2020-04-10,58,15,27,1,1
2020-04-11,48,15,29,1,1
2020-04-12,45,15,33,<1,1
2020-04-13,58,15,32,1,1
2020-04-14,55,15,28,1,1
2020-04-15,55,14,28,1,1
2020-04-16,53,14,26,1,1
2020-04-17,52,13,28,1,<1
2020-04-18,53,13,30,1,<1
2020-04-19,47,13,31,<1,1
2020-04-20,43,14,27,<1,1
2020-04-21,41,13,26,<1,<1
2020-04-22,33,13,26,1,<1
2020-04-23,43,13,27,<1,1
2020-04-24,43,13,29,1,1
2020-04-25,38,14,33,<1,1
2020-04-26,36,14,34,<1,1
2020-04-27,30,13,29,<1,1
2020-04-28,29,13,30,<1,1
2020-04-29,27,15,29,<1,1
2020-04-30,26,14,23,<1,1
2020-05-01,26,13,31,<1,1
2020-05-02,26,12,33,<1,1
2020-05-03,28,13,34,<1,1
2020-05-04,25,13,30,<1,1
2020-05-05,24,12,30,<1,<1
2020-05-06,24,12,32,<1,<1
2020-05-07,24,13,30,<1,<1
2020-05-08,23,12,30,<1,<1
2020-05-09,24,12,34,<1,<1
