Indicators,Apr-20,Mar-20,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Feb-19,Jan-19,Dec-18,Nov-18,Oct-18,Sep-18,Aug-18,Jul-18,Jun-18,May-18,Apr-18,Mar-18,Feb-18,Jan-18,Dec-17,Nov-17,Oct-17,Sep-17,Aug-17,Jul-17,Jun-17,May-17
Manufacturing Purchasing Managers' Index (%),50.8,52,35.7,50,50.2,50.2,49.3,49.8,49.5,49.7,49.4,49.4,50.1,50.5,49.2,49.5,49.4,50,50.2,50.8,51.3,51.2,51.5,51.9,51.4,51.5,50.3,51.3,51.6,51.8,51.6,52.4,51.7,51.4,51.7,51.2
Production index(%),53.7,54.1,27.8,51.3,53.2,52.6,50.8,52.3,51.9,52.1,51.3,51.7,52.1,52.7,49.5,50.9,50.8,51.9,52,53,53.3,53,53.6,54.1,53.1,53.1,50.7,53.5,54,54.3,53.4,54.7,54.1,53.5,54.4,53.4
New orders index(%),50.2,52,29.3,51.4,51.2,51.3,49.6,50.5,49.7,49.8,49.6,49.8,51.4,51.6,50.6,49.6,49.7,50.4,50.8,52,52.2,52.3,53.2,53.8,52.9,53.3,51,52.6,53.4,53.6,52.9,54.8,53.1,52.8,53.1,52.3
New export orders index(%),33.5,46.4,28.7,48.7,50.3,48.8,47,48.2,47.2,46.9,46.3,46.5,49.2,47.1,45.2,46.9,46.6,47,46.9,48,49.4,49.8,49.8,51.2,50.7,51.3,49,49.5,51.9,50.8,50.1,51.3,50.4,50.9,52,50.7
In hand Orders Index (%),43.6,46.3,35.6,46.3,45,44.9,44.9,44.7,44.8,44.7,44.5,44.3,44,46.4,43.6,43.7,44.1,44.3,44.3,45.2,46.7,45.7,45.5,45.9,46.2,46,44.9,45.3,46.3,46.6,45.6,47.4,46.1,46.3,47.2,45.4
Finished goods inventory index(%),49.3,49.1,46.1,46,45.6,46.4,46.7,47.1,47.8,47,48.1,48.1,46.5,47,46.4,47.1,48.2,48.6,47.1,47.4,47.4,47.1,46.3,46.1,47.2,47.3,46.7,47,45.8,46.1,46.1,44.2,45.5,46.1,46.3,46.6
Purchasing volume index(%),52,52.7,29.3,51.6,51.3,51,49.8,50.4,49.3,50.4,49.7,50.5,51.1,51.2,48.3,49.1,49.8,50.8,51,51.5,51.8,51.5,52.8,53,52.6,53,50.8,52.9,53.6,53.5,53.2,53.8,52.9,52.7,52.5,51.5
Import index(%),43.9,48.4,31.9,49,49.9,49.8,46.9,47.1,46.7,47.4,46.8,47.1,49.7,48.7,44.8,47.1,45.9,47.1,47.6,48.5,49.1,49.6,50,50.9,50.2,51.3,49.8,50.4,51.2,51,50.3,51.1,51.4,51.1,51.2,50
Producer prices index(%),42.2,43.8,44.3,49,49.2,47.3,48,49.9,46.7,46.9,45.4,49,52,51.4,48.5,44.5,43.3,46.4,52,54.3,54.3,50.5,53.3,53.2,50.2,48.9,49.2,51.8,54.4,53.8,55.2,59.4,57.4,52.7,49.1,47.6
Main raw material purchase price index(%),42.5,45.5,51.4,53.8,51.8,49,50.4,52.2,48.6,50.7,49,51.8,53.1,53.5,51.9,46.3,44.8,50.3,58,59.8,58.7,54.3,57.7,56.7,53,53.4,53.4,59.7,62.2,59.8,63.4,68.4,65.3,57.9,50.4,49.5
Raw materials inventory index(%),48.2,49,33.9,47.1,47.2,47.8,47.4,47.6,47.5,48,48.2,47.4,47.2,48.4,46.3,48.1,47.1,47.4,47.2,47.8,48.7,48.9,48.8,49.6,49.5,49.6,49.3,48.8,48,48.4,48.6,48.9,48.3,48.5,48.6,48.5
Employment index(%),50.2,50.9,31.8,47.5,47.3,47.3,47.3,47,46.9,47.1,46.9,47,47.2,47.6,47.5,47.8,48,48.3,48.1,48.3,49.4,49.2,49,49.1,49,49.1,48.1,48.3,48.5,48.8,49,49,49.1,49.2,49,49.4
Supplier delivery time index(%),50.1,48.2,32.1,49.9,51.1,50.5,50.1,50.5,50.3,50.1,50.2,50.9,49.9,50.2,49.8,50.1,50.4,50.3,49.5,49.7,49.6,50,50.2,50.1,50.2,50.1,48.4,49.2,49.3,49.5,48.7,49.3,49.3,50.1,49.9,50.2
Expected Production and business activities Index(%),54,54.4,41.8,57.9,54.4,54.9,54.2,54.4,53.3,53.6,53.4,54.5,56.5,56.8,56.2,52.5,52.7,54.2,56.4,56.4,57,56.6,57.9,58.7,58.4,58.7,58.2,56.8,58.7,57.9,57,59.4,59.5,59.1,58.7,56.8
