Table 2. Contributions to Percent Change in Real Gross Domestic Product,,,,,,,,,,,,,,,,,,,,
Line,,2017,2018,2019,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates
Line,,2017,2018,2019,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020
Line,,2017,2018,2019,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
,Percent change at annual rate:,,,,,,,,,,,,,,,,,,,
1,Gross domestic product,2.4,2.9,2.3,1.9,2.2,2.0,2.3,2.2,3.2,3.5,2.5,3.5,2.9,1.1,3.1,2.0,2.1,2.1,-4.8
,Percentage points at annual rates:,,,,,,,,,,,,,,,,,,,
2,Personal consumption expenditures,1.78,2.05,1.76,1.95,1.74,1.70,1.63,1.63,1.61,3.12,1.15,2.70,2.34,0.97,0.78,3.03,2.12,1.24,-5.26
3,Goods,0.83,0.86,0.78,0.94,0.84,0.41,0.68,1.14,0.85,1.55,0.27,1.13,0.75,0.33,0.32,1.74,1.09,0.12,-0.27
4,Durable goods,0.49,0.44,0.34,0.49,0.75,0.41,0.24,0.54,0.55,0.84,0.16,0.56,0.25,0.09,0.02,0.87,0.56,0.20,-1.21
5,Motor vehicles and parts,0.13,0.11,0.05,0.14,0.34,0.18,-0.12,0.11,0.23,0.39,-0.15,0.18,0.01,0.07,-0.27,0.37,0.06,0.13,-0.95
6,Furnishings and durable household equipment,0.13,0.10,0.05,0.11,0.14,0.06,0.15,0.13,0.15,0.19,0.07,0.08,0.09,-0.09,0.03,0.14,0.10,0.02,-0.11
7,Recreational goods and vehicles,0.19,0.16,0.19,0.26,0.22,0.15,0.21,0.25,0.05,0.22,0.17,0.17,0.12,0.04,0.23,0.32,0.31,0.04,0.00
8,Other durable goods,0.03,0.08,0.05,-0.02,0.05,0.01,0.00,0.04,0.12,0.04,0.08,0.13,0.03,0.07,0.03,0.04,0.09,0.01,-0.15
9,Nondurable goods,0.35,0.42,0.45,0.45,0.09,0.00,0.44,0.60,0.31,0.71,0.11,0.57,0.50,0.24,0.30,0.87,0.53,-0.08,0.94
10,Food and beverages purchased for off-premises consumption,0.16,0.16,0.09,0.30,0.12,0.17,0.15,0.09,0.19,0.31,0.12,0.09,0.13,0.07,-0.08,0.25,0.26,-0.06,1.11
11,Clothing and footwear,0.02,0.07,0.06,0.02,0.05,-0.09,0.00,0.12,0.00,0.12,-0.03,0.18,0.15,0.00,-0.07,0.25,-0.04,0.09,-0.78
12,Gasoline and other energy goods,-0.01,0.00,0.00,-0.05,-0.03,-0.05,-0.04,0.10,-0.04,-0.01,-0.04,0.05,-0.04,0.03,0.01,0.02,-0.02,-0.03,-0.09
13,Other nondurable goods,0.18,0.19,0.29,0.18,-0.05,-0.02,0.33,0.29,0.15,0.29,0.06,0.24,0.27,0.14,0.44,0.35,0.33,-0.07,0.70
14,Services,0.94,1.18,0.98,1.01,0.90,1.29,0.95,0.49,0.76,1.57,0.88,1.57,1.59,0.65,0.46,1.29,1.02,1.12,-4.99
15,Household consumption expenditures (for services),0.94,1.08,1.01,1.07,0.57,1.30,0.94,0.61,0.81,1.55,0.78,1.33,1.46,0.24,1.00,1.26,1.04,1.28,-5.61
16,Housing and utilities,0.10,0.17,0.12,0.35,0.27,-0.12,-0.13,0.37,0.04,0.33,0.05,0.29,0.07,0.12,0.01,0.14,0.28,0.05,0.08
17,Health care,0.27,0.34,0.35,0.84,-0.40,0.80,0.09,-0.03,0.56,0.43,0.20,0.39,0.60,-0.22,0.72,0.38,0.07,0.56,-2.25
18,Transportation services,0.08,0.07,0.04,0.02,0.15,0.11,-0.04,0.12,0.13,0.18,0.13,-0.10,-0.02,-0.02,0.01,0.17,0.10,0.02,-0.74
19,Recreation services,0.03,0.06,0.07,-0.08,0.12,0.13,0.07,-0.05,-0.05,-0.06,0.16,0.17,0.02,0.09,-0.03,0.17,0.00,0.15,-1.01
20,Food services and accommodations,0.12,0.19,0.09,0.04,0.06,0.07,0.33,-0.06,0.11,0.19,0.26,0.23,0.35,-0.12,-0.06,0.22,0.16,0.05,-1.61
21,Financial services and insurance,0.10,0.06,0.10,-0.21,0.10,-0.03,0.33,-0.01,0.11,0.14,0.05,-0.04,0.05,0.10,0.15,0.05,0.12,0.20,0.15
22,Other services,0.24,0.19,0.26,0.11,0.26,0.33,0.29,0.28,-0.09,0.35,-0.08,0.39,0.38,0.30,0.20,0.13,0.32,0.26,-0.25
23,Final consumption expenditures of nonprofit institutions serving households,0.01,0.10,-0.04,-0.06,0.33,-0.02,0.01,-0.12,-0.05,0.02,0.10,0.24,0.13,0.41,-0.54,0.03,-0.02,-0.16,0.63
24,Gross output of nonprofit institutions,0.12,0.20,0.18,0.45,0.22,0.32,0.03,-0.23,0.24,0.13,-0.03,0.57,0.45,0.07,0.19,0.14,0.00,0.07,-0.07
25,Less: Receipts from sales of goods and services by nonprofit institutions,0.11,0.10,0.22,0.51,-0.11,0.34,0.02,-0.11,0.30,0.11,-0.13,0.33,0.32,-0.34,0.72,0.12,0.02,0.23,-0.69
26,Gross private domestic investment,0.75,0.87,0.32,-0.28,0.09,1.50,0.57,0.59,1.25,0.80,1.07,-0.30,2.27,0.53,1.09,-1.16,-0.17,-1.07,-0.96
27,Fixed investment,0.70,0.78,0.22,0.44,0.62,0.33,1.27,0.48,0.25,1.45,0.94,0.89,0.13,0.46,0.56,-0.25,-0.14,-0.09,-0.43
28,Nonresidential,0.57,0.84,0.28,0.52,0.72,0.09,0.84,0.57,0.32,1.08,1.15,1.04,0.29,0.64,0.60,-0.14,-0.31,-0.33,-1.17
29,Structures,0.14,0.12,-0.13,0.27,0.50,0.07,0.21,0.06,-0.24,0.15,0.35,0.33,-0.07,-0.29,0.12,-0.36,-0.30,-0.21,-0.28
30,Equipment,0.27,0.39,0.08,-0.14,0.02,0.02,0.36,0.50,0.36,0.72,0.39,0.20,0.17,0.42,0.00,0.05,-0.22,-0.25,-0.91
31,Information processing equipment,0.18,0.18,0.08,0.05,0.21,0.11,0.18,0.26,0.16,0.28,0.20,0.08,0.20,-0.04,0.17,0.13,-0.13,0.01,-0.30
32,Industrial equipment,0.07,0.05,0.01,0.04,-0.02,0.07,0.08,0.14,0.06,0.09,0.07,-0.05,0.07,0.08,-0.04,0.02,0.08,-0.16,-0.08
33,Transportation equipment,-0.08,0.09,-0.01,-0.15,-0.19,-0.15,-0.07,-0.08,0.02,0.21,0.12,0.09,-0.07,0.29,-0.06,-0.14,-0.17,-0.01,-0.48
34,Other equipment,0.10,0.07,0.00,-0.07,0.02,0.00,0.16,0.18,0.12,0.14,0.00,0.09,-0.03,0.10,-0.08,0.04,0.00,-0.10,-0.04
35,Intellectual property products,0.16,0.32,0.34,0.39,0.20,0.00,0.27,0.01,0.21,0.20,0.41,0.51,0.18,0.51,0.48,0.17,0.22,0.13,0.02
36,Software,0.14,0.19,0.19,0.12,0.14,0.11,0.19,0.09,0.17,0.10,0.29,0.18,0.15,0.19,0.26,0.11,0.18,0.17,0.16
37,Research and development,0.01,0.12,0.14,0.27,0.03,-0.13,0.08,-0.08,0.04,0.07,0.10,0.30,0.01,0.29,0.21,0.06,0.01,-0.05,-0.10
38,"Entertainment, literary, and artistic originals",0.01,0.02,0.01,0.00,0.04,0.02,0.00,0.00,0.01,0.03,0.02,0.02,0.02,0.03,0.00,0.00,0.02,0.01,-0.03
39,Residential,0.13,-0.06,-0.06,-0.07,-0.10,0.24,0.43,-0.09,-0.08,0.37,-0.21,-0.15,-0.16,-0.18,-0.04,-0.11,0.17,0.24,0.74
40,Change in private inventories,0.04,0.09,0.09,-0.72,-0.53,1.18,-0.70,0.11,1.00,-0.64,0.13,-1.20,2.14,0.07,0.53,-0.91,-0.03,-0.98,-0.53
41,Farm,0.01,-0.02,0.00,0.18,0.08,-0.12,0.04,0.01,-0.03,0.01,-0.03,-0.02,-0.06,-0.05,0.01,0.04,0.01,0.06,0.10
42,Nonfarm,0.03,0.11,0.10,-0.90,-0.61,1.30,-0.74,0.10,1.03,-0.65,0.16,-1.18,2.20,0.12,0.52,-0.95,-0.04,-1.04,-0.63
43,Net exports of goods and services,-0.28,-0.29,-0.15,0.35,0.05,-1.36,0.13,-0.31,0.35,-0.80,0.00,0.67,-2.05,-0.35,0.73,-0.68,-0.14,1.51,1.30
44,Exports,0.41,0.37,0.00,0.45,0.71,-0.30,0.72,0.20,0.54,1.19,0.10,0.71,-0.78,0.18,0.49,-0.69,0.11,0.24,-1.02
45,Goods,0.30,0.34,0.02,0.20,0.54,-0.06,0.46,0.18,0.18,1.03,0.11,0.94,-0.78,0.21,0.36,-0.48,0.17,-0.04,-0.08
46,Services,0.11,0.03,-0.02,0.25,0.17,-0.24,0.25,0.01,0.36,0.16,0.00,-0.23,0.00,-0.03,0.13,-0.21,-0.05,0.28,-0.93
47,Imports,-0.69,-0.66,-0.15,-0.10,-0.66,-1.06,-0.58,-0.51,-0.18,-1.99,-0.10,-0.04,-1.27,-0.53,0.23,0.01,-0.26,1.27,2.32
48,Goods,-0.57,-0.61,-0.04,-0.11,-0.42,-0.92,-0.48,-0.40,-0.10,-1.86,-0.18,-0.10,-1.11,-0.28,0.36,-0.02,-0.13,1.41,1.35
49,Services,-0.12,-0.05,-0.12,0.01,-0.24,-0.14,-0.10,-0.11,-0.08,-0.12,0.08,0.06,-0.16,-0.24,-0.13,0.02,-0.13,-0.14,0.96
