State,April 2020(P),Rank
,rate,
Connecticut,7.9,1
Minnesota,8.1,2
Nebraska,8.3,3
North Dakota,8.5,4
Wyoming,9.2,5
Missouri,9.7,6
Utah,9.7,6
Maryland,9.9,8
Arkansas,10.2,9
Iowa,10.2,9
South Dakota,10.2,9
Maine,10.6,12
Virginia,10.6,12
District of Columbia,11.1,14
Kansas,11.2,15
Colorado,11.3,16
Montana,11.3,16
New Mexico,11.3,16
Idaho,11.5,19
Georgia,11.9,20
South Carolina,12.1,21
North Carolina,12.2,22
Arizona,12.6,23
Texas,12.8,24
Alabama,12.9,25
Alaska,12.9,25
Florida,12.9,25
Oklahoma,13.7,28
Wisconsin,14.1,29
Oregon,14.2,30
Delaware,14.3,31
Louisiana,14.5,32
New York,14.5,32
Tennessee,14.7,34
Massachusetts,15.1,35
Pennsylvania,15.1,35
West Virginia,15.2,37
New Jersey,15.3,38
Kentucky,15.4,39
Mississippi,15.4,39
Washington,15.4,39
California,15.5,42
Vermont,15.6,43
New Hampshire,16.3,44
Illinois,16.4,45
Ohio,16.8,46
Indiana,16.9,47
Rhode Island,17,48
Hawaii,22.3,49
Michigan,22.7,50
Nevada,28.2,51
