Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU03000091,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - 35-44 yrs.,,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,,
Age:,35 to 44 years,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1948,335,423,426,412,328,304,335,350,329,279,302,337,347
1949,501,601,578,557,571,522,684,646,638,659,637,638,603
1950,690,757,753,648,547,450,514,423,407,349,398,420,530
1951,511,436,399,330,306,300,326,316,318,314,368,318,354
1952,396,454,354,336,288,288,360,356,244,276,298,253,325
1953,392,310,366,344,270,248,304,266,272,299,353,473,325
1954,696,751,743,727,714,662,698,668,740,574,590,602,680
1955,762,728,662,607,529,423,437,408,385,388,464,455,521
1956,597,516,520,489,464,442,498,465,414,364,451,496,476
1957,608,538,505,491,418,447,441,407,473,482,562,615,499
1958,888,1080,1035,979,919,851,880,871,779,695,691,784,871
1959,923,924,795,645,564,559,581,609,576,565,735,595,673
1960,775,706,742,624,591,591,615,625,583,637,744,824,671
1961,1026,1091,1063,897,857,819,779,813,728,700,685,739,850
1962,881,858,802,753,579,667,650,671,595,556,638,608,688
1963,846,933,830,685,572,585,607,596,509,558,668,694,674
1964,789,817,743,649,515,504,520,523,517,529,567,578,605
1965,713,761,632,594,527,523,444,512,476,453,469,453,546
1966,550,539,457,411,341,368,381,438,386,405,441,400,426
1967,484,504,480,440,342,399,375,397,421,444,391,383,422
1968,513,507,453,383,307,317,330,347,356,309,338,283,371
1969,403,406,369,348,334,332,338,374,389,340,338,324,358
1970,440,511,541,462,438,451,475,527,530,575,577,658,515
1971,751,751,656,625,544,557,604,668,615,621,567,595,630
1972,687,654,693,590,562,537,568,584,559,537,496,451,576
1973,557,559,534,458,408,405,389,412,440,388,411,454,451
1974,547,585,522,521,476,490,495,524,577,577,656,747,559
1975,1060,1078,1075,1071,934,903,837,887,885,900,896,882,951
1976,975,997,880,854,717,773,839,818,853,820,818,839,849
1977,907,958,895,758,731,752,762,754,742,724,765,680,785
1978,809,755,744,640,691,652,676,697,657,651,668,688,694
1979,811,731,700,659,610,620,633,743,744,716,748,744,705
1980,891,884,866,875,915,921,1021,1069,961,944,956,980,940
1981,1136,1096,1094,1032,893,947,923,962,1068,1079,1233,1321,1065
1982,1482,1460,1465,1408,1399,1396,1446,1543,1588,1638,1845,1954,1552
1983,2007,1931,1829,1742,1694,1656,1613,1552,1592,1418,1384,1387,1650
1984,1479,1432,1379,1379,1255,1238,1291,1383,1372,1304,1237,1272,1335
1985,1516,1420,1438,1342,1266,1368,1323,1330,1321,1215,1263,1281,1340
1986,1399,1545,1496,1383,1331,1341,1327,1328,1326,1335,1368,1276,1371
1987,1496,1460,1475,1256,1186,1157,1271,1239,1259,1254,1149,1168,1281
1988,1360,1384,1278,1136,1150,1020,1140,1191,1071,1072,1081,1113,1166
1989,1280,1270,1185,1154,1013,971,1135,1171,1176,1129,1194,1176,1159
1990,1373,1318,1276,1243,1118,1204,1341,1357,1363,1285,1496,1560,1328
1991,1796,1841,1872,1791,1641,1662,1643,1726,1608,1570,1719,1754,1719
1992,2135,2232,2104,1903,1820,1906,1970,1995,1856,1852,1887,2053,1976
1993,2217,2146,2031,1888,1748,1817,1814,1834,1699,1858,1861,1835,1896
1994,2067,1915,1938,1591,1425,1521,1583,1608,1601,1425,1412,1438,1627
1995,1750,1641,1593,1599,1503,1466,1558,1569,1426,1511,1478,1501,1549
1996,1709,1611,1636,1539,1356,1338,1483,1497,1455,1421,1522,1496,1505
1997,1797,1689,1639,1408,1250,1306,1321,1396,1320,1286,1201,1403,1418
1998,1588,1395,1435,1225,1170,1184,1198,1234,1145,1147,1175,1205,1258
1999,1330,1307,1183,1183,1129,1188,1150,1231,1125,1025,983,1022,1154
2000,1291,1284,1300,1136,1052,1116,1138,1193,1044,969,1038,1039,1133
2001,1311,1264,1322,1146,1174,1236,1345,1378,1408,1464,1614,1598,1355
2002,1922,1780,1824,1714,1613,1514,1647,1582,1585,1663,1754,1696,1691
2003,1920,2083,1943,1759,1714,1858,1872,1791,1670,1738,1739,1692,1815
2004,1808,1775,1882,1571,1406,1597,1570,1554,1535,1395,1423,1420,1578
2005,1636,1666,1506,1367,1292,1324,1362,1315,1271,1343,1377,1342,1400
2006,1454,1380,1481,1324,1153,1185,1294,1354,1187,982,1233,1317,1279
2007,1347,1284,1238,1180,1078,1116,1334,1263,1133,1154,1240,1331,1225
2008,1395,1373,1439,1343,1361,1486,1638,1774,1716,1782,1859,2088,1604
2009,2562,2588,2686,2577,2574,2654,2689,2763,2858,2893,2835,2981,2722
2010,3172,3192,3082,2665,2472,2457,2630,2535,2689,2465,2485,2591,2703
2011,2668,2624,2518,2345,2326,2400,2289,2473,2390,2201,2195,2238,2389
2012,2468,2398,2219,2068,2084,2196,2228,2146,2019,1944,1945,2181,2158
2013,2319,2175,2055,1811,1903,1837,1962,1823,1781,1760,1765,1760,1913
2014,1804,1788,1754,1512,1562,1432,1579,1542,1387,1364,1351,1395,1539
2015,1586,1570,1407,1330,1364,1219,1374,1257,1277,1283,1225,1319,1351
2016,1429,1350,1321,1249,1085,1179,1162,1329,1333,1227,1110,1317,1258
2017,1441,1467,1347,1128,1027,1047,1192,1119,1015,949,978,1002,1143
2018,1153,1145,1142,944,871,984,1048,979,945,950,929,947,1003
2019,1106,973,1014,845,811,901,990,962,857,855,891,954,930
2020,1068,1042,1251,3772,,,,,,,,,
