Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU03000001,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - Men,,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,,
Sex:,Men,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1948,1789,2004,1912,1707,1430,1493,1551,1451,1343,1147,1352,1547,1559
1949,2218,2586,2585,2382,2503,2713,3025,2701,2409,2709,2413,2621,2572
1950,3358,3489,3139,2720,2258,2279,2187,1714,1556,1261,1363,1556,2239
1951,1745,1654,1387,1144,1006,1224,1232,1064,1014,984,1108,1082,1221
1952,1480,1556,1350,1188,1050,1254,1328,1186,1070,824,914,1018,1185
1953,1504,1362,1200,1202,1034,1102,1120,944,955,950,1274,1781,1202
1954,2362,2760,2768,2606,2413,2363,2442,2270,2164,1908,1978,2107,2344
1955,2554,2531,2366,2225,1729,1820,1686,1508,1318,1336,1486,1691,1854
1956,2063,2153,2051,1723,1707,1878,1699,1440,1300,1206,1543,1769,1711
1957,2122,2066,1908,1769,1610,1909,1717,1528,1536,1563,2001,2360,1841
1958,3120,3589,3711,3450,3219,3386,3359,3015,2573,2407,2474,2869,3098
1959,3246,3308,2923,2263,2043,2262,2214,2086,1998,1979,2348,2369,2420
1960,2798,2636,2878,2392,2128,2536,2411,2346,2032,2176,2450,3038,2486
1961,3673,3844,3653,3216,2967,3141,2991,2747,2361,2253,2385,2732,2997
1962,2992,2973,2854,2470,2223,2546,2272,2266,1959,1843,2206,2479,2423
1963,3049,3256,2964,2546,2355,2576,2393,2157,1870,1842,2210,2437,2472
1964,2848,2773,2623,2276,1994,2481,2079,1984,1772,1721,1819,2093,2205
1965,2448,2527,2251,2049,1855,2161,1933,1735,1472,1421,1467,1654,1914
1966,1920,1871,1814,1500,1437,1826,1611,1417,1223,1156,1313,1537,1551
1967,1703,1735,1634,1432,1292,1815,1609,1441,1214,1324,1418,1471,1508
1968,1704,1808,1619,1289,1135,1775,1548,1309,1155,1178,1229,1283,1419
1969,1568,1539,1461,1253,1114,1580,1608,1293,1321,1309,1329,1462,1403
1970,1935,2178,2081,1981,1844,2533,2477,2211,2146,2244,2441,2784,2238
1971,3261,3245,3017,2652,2466,2985,2921,2681,2439,2407,2598,2804,2789
1972,3260,3313,3097,2689,2412,2851,2684,2461,2265,2255,2268,2360,2659
1973,2636,2744,2562,2317,2085,2478,2324,2071,1937,1858,2067,2233,2275
1974,2808,2941,2675,2443,2191,2802,2683,2488,2500,2571,2970,3500,2714
1975,4699,4919,4941,4623,4345,4852,4637,4161,4004,3898,4051,4175,4442
1976,4757,4674,4379,3968,3573,4208,4083,3717,3537,3564,3901,4082,4036
1977,4507,4748,4288,3621,3373,3876,3640,3399,3020,3123,3208,3211,3667
1978,3816,3874,3686,3081,2784,3091,3141,2840,2679,2734,2846,3127,3142
1979,3549,3605,3430,2996,2685,3094,3174,2986,2807,2861,3050,3201,3120
1980,4047,4029,4002,4043,4258,4747,4842,4483,4156,4120,4262,4218,4267
1981,5092,5073,4828,4263,4256,4582,4259,4173,3988,4279,4789,5346,4577
1982,6117,6184,6206,5850,5669,6211,6172,5941,5961,6172,6660,7009,6179
1983,7552,7632,7298,6736,6362,6498,6097,5790,5408,5208,5227,5310,6260
1984,5797,5574,5304,4909,4472,4664,4674,4273,4197,4127,4315,4623,4744
1985,5205,5133,4868,4580,4234,4709,4604,4098,4023,4171,4250,4374,4521
1986,4810,5161,4928,4527,4460,4718,4582,4097,4177,4159,4360,4382,4530
1987,5052,4976,4693,4185,4078,4199,3963,3696,3437,3549,3669,3711,4101
1988,4364,4232,4136,3510,3575,3628,3529,3450,3183,3267,3464,3517,3655
1989,4252,4040,3597,3499,3249,3484,3308,3157,3248,3243,3563,3565,3525
1990,4341,4191,3946,3772,3574,3707,3763,3627,3627,3704,4184,4441,3906
1991,5214,5565,5499,4904,4808,5018,4891,4528,4532,4468,4807,5115,4946
1992,6258,6384,6038,5393,5471,5840,5463,5156,5033,4893,5159,5191,5523
1993,5951,5996,5808,5188,4978,5245,5034,4657,4428,4450,4410,4519,5055
1994,5526,5434,5064,4535,4158,4319,4409,4031,3724,3745,3700,3767,4367
1995,4631,4358,4204,4035,3961,4010,3993,3807,3642,3474,3796,3887,3983
1996,4605,4529,4483,4036,3867,3868,3982,3355,3413,3337,3555,3525,3880
1997,4477,4233,4158,3650,3223,3693,3517,3259,3178,3130,3098,3304,3577
1998,3882,3733,3779,2988,2997,3326,3418,3003,3088,2946,2906,3125,3266
1999,3644,3634,3242,2959,2906,3159,3137,2842,2790,2799,2748,2932,3066
2000,3468,3541,3219,2776,2741,2993,2949,2800,2683,2700,2806,3021,2975
2001,3786,3719,3692,3354,3178,3611,3530,3582,3441,3827,4173,4382,3690
2002,5235,5055,5052,4543,4255,4672,4500,4299,4114,4128,4546,4760,4597
