Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU04000164,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - 25-34 yrs., Men",,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,,
Age:,25 to 34 years,,,,,,,,,,,,
Sex:,Men,,,,,,,,,,,,
Years:,1948 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1948,3.3,3.4,3.3,3.4,2.7,2.2,2.5,2.9,2.3,2.1,2.8,2.5,2.8
1949,4.6,4.9,5.3,4.8,4.9,5.2,5.9,5.0,4.8,6.3,4.9,5.3,5.2
1950,7.2,6.9,6.6,5.6,4.6,4.1,4.5,3.2,2.7,2.2,2.7,3.2,4.4
1951,3.3,3.2,2.8,1.8,1.8,1.8,2.3,2.3,2.1,2.1,2.1,2.1,2.3
1952,3.0,2.9,2.4,2.3,1.7,2.0,2.5,2.4,2.3,1.4,1.9,1.7,2.2
1953,3.2,2.4,1.9,2.2,2.2,1.9,1.7,1.7,1.7,1.6,2.5,3.4,2.2
1954,4.5,5.7,6.2,5.5,5.2,4.6,4.9,5.0,4.5,4.3,3.9,3.3,4.8
1955,4.4,5.1,5.2,4.7,2.7,2.4,2.4,2.3,2.5,2.2,2.3,3.0,3.3
1956,3.9,4.0,4.2,3.0,3.1,3.6,3.4,2.9,2.9,2.3,2.7,3.1,3.3
1957,3.7,3.8,3.3,3.1,2.9,2.9,3.2,2.8,3.0,2.8,3.4,4.7,3.3
1958,7.1,7.9,8.3,7.7,7.0,7.1,6.8,6.0,5.3,4.7,4.8,5.9,6.5
1959,7.0,7.0,6.2,4.5,4.2,3.7,3.7,3.5,4.0,3.6,4.3,4.4,4.7
1960,5.4,5.2,5.9,4.9,3.7,4.2,4.7,4.7,4.0,4.0,4.9,6.0,4.8
1961,7.6,8.0,7.3,6.0,5.9,5.3,5.5,5.2,4.3,4.2,4.5,5.1,5.7
1962,6.0,5.7,5.6,4.5,3.9,3.8,4.1,4.4,3.9,3.5,3.7,4.7,4.5
1963,6.4,6.7,5.5,4.6,4.2,3.5,3.6,3.8,3.3,3.2,4.4,4.7,4.5
1964,5.6,5.0,4.3,3.4,3.0,3.2,2.8,2.8,2.5,2.6,2.8,3.8,3.5
1965,4.5,4.7,3.7,3.1,2.5,2.1,2.8,2.8,2.4,1.9,2.1,2.7,2.9
1966,3.9,3.4,3.4,2.5,1.9,2.1,2.5,2.2,1.7,1.6,1.6,2.1,2.4
1967,2.8,3.1,2.7,2.0,1.9,2.1,2.2,1.9,1.5,1.7,1.8,2.0,2.1
1968,2.7,2.8,2.3,1.9,1.6,1.7,1.9,2.0,1.5,1.6,1.5,1.8,1.9
1969,2.2,2.2,2.1,1.8,1.5,1.6,1.8,1.9,1.8,1.6,1.9,2.0,1.9
1970,3.4,3.6,3.2,3.1,2.9,3.5,3.4,3.7,2.9,3.3,3.8,4.7,3.5
1971,5.6,5.3,5.2,4.1,3.8,3.8,4.4,4.3,3.9,3.8,4.2,4.3,4.4
1972,5.3,5.3,4.3,4.0,3.7,3.6,3.4,3.4,3.1,2.9,3.0,3.4,3.8
1973,4.3,4.4,4.2,3.4,3.4,3.0,3.1,3.3,2.9,2.7,2.6,3.2,3.4
1974,4.3,4.3,4.3,4.1,3.3,3.4,3.5,3.6,3.2,3.9,4.4,5.8,4.0
1975,7.8,8.3,8.3,7.3,6.9,7.1,6.9,6.3,6.1,5.8,6.3,6.6,6.9
1976,7.7,7.6,6.7,5.9,5.5,5.9,6.1,5.8,5.4,5.3,6.0,6.3,6.2
1977,7.5,7.5,6.7,5.8,5.2,5.3,5.6,5.3,4.5,5.0,4.8,4.9,5.7
1978,6.0,5.7,5.3,4.4,4.0,3.6,3.9,4.1,3.5,3.8,3.9,4.4,4.4
1979,5.2,5.3,5.0,4.2,3.7,3.6,3.9,4.3,3.4,3.7,4.4,4.4,4.3
1980,6.0,6.0,6.5,7.0,6.9,7.1,7.5,7.1,6.8,6.5,6.5,6.6,6.7
1981,8.0,7.8,7.2,6.4,6.4,6.5,6.2,6.3,5.9,6.6,7.4,8.5,6.9
1982,9.8,10.1,10.0,9.7,9.1,10.1,10.2,9.6,9.8,10.1,10.6,11.6,10.1
1983,12.6,13.0,12.6,11.1,10.2,10.1,9.4,9.1,8.5,8.1,8.3,8.4,10.1
1984,9.6,9.4,8.4,7.6,6.7,6.6,6.8,6.1,5.5,5.9,6.4,7.1,7.2
1985,8.0,7.9,7.2,7.1,6.1,6.4,6.2,6.1,5.9,5.9,6.1,6.5,6.6
1986,7.1,7.8,7.2,6.7,6.5,6.5,6.8,6.0,5.8,6.3,6.5,6.7,6.7
1987,8.2,7.5,6.9,6.0,5.7,5.8,5.4,5.4,4.6,5.0,5.2,5.7,5.9
1988,6.4,6.2,6.2,5.1,5.1,5.2,4.7,5.2,4.5,4.5,5.2,4.9,5.3
1989,5.6,5.7,5.4,5.2,4.6,4.6,4.4,4.0,4.4,4.2,4.5,4.8,4.8
