"HOUSEHOLD DATA
ANNUAL AVERAGES 
26.  Unemployed persons by industry, class of worker, and sex",,,,,,,,
[Numbers in thousands],,,,,,,,
,,,,,,,,
Industry and class of worker,Total unemployed,,Unemployment rates,,,,,
,2018,2019,Total,,Men,,Women,
,,,2018,2019,2018,2019,2018,2019
,,,,,,,,
"Total, 16 years and over(1)","6,314","6,001",3.9,3.7,3.9,3.7,3.8,3.6
,,,,,,,,
Nonagricultural private wage and salary workers(2),"4,798","4,522",3.7,3.5,3.8,3.5,3.7,3.4
"Mining, quarrying, and oil and gas extraction",27,24,3.4,3.2,3.5,3.4,3.2,2.0
Construction,494,435,5.1,4.5,5.2,4.5,4.2,3.8
Manufacturing,517,468,3.3,3.0,3.0,2.7,3.9,3.5
Durable goods,295,274,3.0,2.7,2.9,2.7,3.2,3.0
Nonmetallic mineral products,15,21,3.2,4.4,3.6,5.0,1.3,2.2
Primary metals and fabricated metal products,46,43,2.7,2.3,2.8,2.2,2.4,3.3
Machinery manufacturing,27,27,2.2,2.4,2.3,2.2,2.1,3.0
Computers and electronic products,41,20,3.6,1.8,3.7,1.7,3.3,2.2
Electrical equipment and appliances,18,7,4.3,1.7,3.2,1.9,6.5,1.1
Transportation equipment,77,73,3.0,2.9,2.7,2.6,4.0,3.6
Wood products,8,9,1.9,2.2,2.1,2.2,0.4,2.0
Furniture and related products,12,18,3.1,4.4,3.4,4.3,2.3,4.6
Miscellaneous manufacturing,50,56,3.2,3.5,3.2,3.8,3.3,3.0
Nondurable goods,222,194,3.8,3.3,3.3,2.9,4.8,4.1
Food manufacturing,90,92,4.8,4.8,4.3,4.2,5.5,5.7
Beverage and tobacco products,13,4,4.1,1.5,3.3,1.1,6.2,2.5
"Textiles, apparel, and leather",31,22,5.4,4.0,5.6,3.1,5.2,4.8
Paper manufacturing and printing,19,22,2.2,2.5,2.1,2.5,2.4,2.6
Petroleum and coal products,9,8,4.3,3.7,3.5,4.0,–,–
Chemicals,42,27,2.9,1.8,2.2,1.6,4.1,2.1
Plastics and rubber products,18,20,3.4,3.6,2.9,3.1,4.9,5.0
Wholesale and retail trade,881,803,4.3,4.1,4.0,3.7,4.8,4.5
Wholesale trade,112,97,3.1,2.8,3.1,2.5,3.0,3.3
Retail trade,768,706,4.6,4.4,4.2,4.1,5.0,4.7
Transportation and utilities,236,256,3.4,3.5,3.2,3.3,3.8,3.9
Transportation and warehousing,218,237,3.6,3.8,3.6,3.6,3.9,4.2
Utilities,19,19,1.8,1.8,1.3,1.7,3.3,2.1
Information(3),99,89,3.7,3.5,4.0,3.5,3.1,3.5
"Publishing, except Internet",23,21,5.0,5.3,7.3,6.2,2.6,4.3
Motion pictures and sound recording industries,26,31,5.5,6.5,6.2,7.4,4.3,5.1
Radio and television broadcasting and cable subscription programming,15,13,2.7,2.5,2.5,2.5,3.1,2.6
Telecommunications,24,17,2.7,2.1,3.0,1.6,2.0,3.1
"Libraries, archives, and other information services",3,3,3.2,3.3,–,–,4.0,–
Financial activities,215,216,2.2,2.1,2.3,2.3,2.0,2.0
Finance and insurance,139,145,1.9,2.0,1.9,2.1,1.9,1.9
Finance,92,91,2.1,2.0,2.0,2.2,2.1,1.9
Insurance,46,53,1.7,2.0,1.7,2.0,1.7,1.9
Real estate and rental and leasing,77,71,2.8,2.5,3.1,2.7,2.3,2.3
Real estate,60,59,2.5,2.4,2.7,2.4,2.3,2.4
Rental and leasing services,17,12,4.1,3.3,4.8,4.1,2.3,1.6
Professional and business services,671,647,3.9,3.6,3.7,3.5,4.2,3.8
Professional and technical services,256,273,2.3,2.3,2.1,2.1,2.7,2.7
"Management, administrative, and waste services(3)",415,374,6.7,6.1,6.6,6.1,6.8,6.1
Administrative and support services,396,355,7.1,6.4,7.1,6.5,7.1,6.3
Waste management and remediation services,15,11,3.7,2.5,3.7,2.7,3.8,1.4
Education and health services,638,621,2.6,2.5,2.4,2.6,2.7,2.5
Educational services,174,180,3.4,3.5,3.0,3.7,3.6,3.4
Health care and social assistance,464,441,2.4,2.2,2.1,2.1,2.5,2.3
Hospitals,78,86,1.2,1.3,1.2,1.2,1.2,1.3
"Health services, except hospitals",276,248,2.8,2.4,2.3,2.3,2.9,2.4
