Local Area Unemployment Statistics,,,,,,,
Original Data Value,,,,,,,
,,,,,,,
Series Id:,"LASST010000000000003,LASST010000000000004,LASST010000000000005,LASST010000000000006,LASST010000000000007,LASST010000000000008",,,,,,
Seasonally Adjusted,,,,,,,
Area:,Alabama,,,,,,
Area Type:,Statewide,,,,,,
State/Region/Division:,Alabama,,,,,,
Years:,2000 to 2020,,,,,,
,,,,,,,
Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2000,Jan,63.6,60.6,2142945,2042008,100937,4.7
2000,Feb,63.6,60.6,2142351,2042502,99849,4.7
2000,Mar,63.5,60.6,2140697,2041983,98714,4.6
2000,Apr,63.4,60.5,2138178,2040546,97632,4.6
2000,May,63.2,60.4,2135307,2038520,96787,4.5
2000,Jun,63.1,60.3,2132623,2036174,96449,4.5
2000,Jul,63.0,60.2,2130313,2033898,96415,4.5
2000,Aug,63.0,60.1,2128594,2032077,96517,4.5
2000,Sep,62.9,60.0,2127432,2030794,96638,4.5
2000,Oct,62.8,60.0,2126852,2030058,96794,4.6
2000,Nov,62.8,60.0,2126907,2029527,97380,4.6
2000,Dec,62.8,59.9,2127030,2028704,98326,4.6
2001,Jan,62.8,59.9,2126441,2027144,99297,4.7
2001,Feb,62.7,59.8,2124721,2024731,99990,4.7
2001,Mar,62.6,59.7,2121781,2021544,100237,4.7
2001,Apr,62.5,59.5,2117985,2017704,100281,4.7
2001,May,62.4,59.4,2114232,2013625,100607,4.8
2001,Jun,62.3,59.3,2111291,2009510,101781,4.8
2001,Jul,62.2,59.1,2109963,2005520,104443,4.9
2001,Aug,62.2,59.0,2109935,2001306,108629,5.1
2001,Sep,62.2,58.8,2110339,1996677,113662,5.4
2001,Oct,62.1,58.6,2110607,1991811,118796,5.6
2001,Nov,62.1,58.5,2110105,1986957,123148,5.8
2001,Dec,62.1,58.3,2108837,1982694,126143,6.0
2002,Jan,62.0,58.2,2107022,1979465,127557,6.1
2002,Feb,61.9,58.2,2104914,1977317,127597,6.1
2002,Mar,61.9,58.1,2102910,1976134,126776,6.0
2002,Apr,61.8,58.1,2101696,1976039,125657,6.0
2002,May,61.8,58.1,2101698,1977060,124638,5.9
2002,Jun,61.8,58.2,2102827,1979125,123702,5.9
2002,Jul,61.8,58.2,2104604,1981669,122935,5.8
2002,Aug,61.9,58.3,2106792,1984310,122482,5.8
2002,Sep,61.9,58.3,2109245,1986849,122396,5.8
2002,Oct,61.9,58.3,2111166,1988843,122323,5.8
2002,Nov,61.9,58.3,2112361,1990309,122052,5.8
2002,Dec,61.9,58.3,2113065,1991282,121783,5.8
2003,Jan,61.9,58.3,2113996,1991914,122082,5.8
2003,Feb,62.0,58.3,2115588,1992400,123188,5.8
2003,Mar,62.0,58.3,2117543,1992639,124904,5.9
2003,Apr,62.0,58.3,2119127,1992263,126864,6.0
