Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN360050000000003,LAUCN360050000000004,LAUCN360050000000005,LAUCN360050000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Bronx County, NY",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,New York,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,483577,445781,37796,7.8
2000,Feb,487277,449198,38079,7.8
2000,Mar,488625,450603,38022,7.8
2000,Apr,485664,452113,33551,6.9
2000,May,483989,450292,33697,7.0
2000,Jun,484033,452230,31803,6.6
2000,Jul,489345,453733,35612,7.3
2000,Aug,486996,452192,34804,7.1
2000,Sep,485044,452187,32857,6.8
2000,Oct,488089,454316,33773,6.9
2000,Nov,488234,454623,33611,6.9
2000,Dec,488572,457160,31412,6.4
2001,Jan,491003,456230,34773,7.1
2001,Feb,492416,458064,34352,7.0
2001,Mar,492133,458803,33330,6.8
2001,Apr,485995,455860,30135,6.2
2001,May,482266,453497,28769,6.0
2001,Jun,483846,453188,30658,6.3
2001,Jul,491636,458157,33479,6.8
2001,Aug,490500,453834,36666,7.5
2001,Sep,489216,452183,37033,7.6
2001,Oct,487690,446632,41058,8.4
2001,Nov,488102,445619,42483,8.7
2001,Dec,488919,445590,43329,8.9
2002,Jan,492222,444152,48070,9.8
2002,Feb,497141,448939,48202,9.7
2002,Mar,496940,448590,48350,9.7
2002,Apr,495115,448229,46886,9.5
2002,May,493156,447972,45184,9.2
2002,Jun,494655,447848,46807,9.5
2002,Jul,499277,450628,48649,9.7
2002,Aug,497406,450201,47205,9.5
2002,Sep,495456,449746,45710,9.2
2002,Oct,500223,450154,50069,10.0
2002,Nov,500503,447828,52675,10.5
2002,Dec,500745,447755,52990,10.6
2003,Jan,502856,445466,57390,11.4
2003,Feb,503327,447341,55986,11.1
2003,Mar,499380,446713,52667,10.5
2003,Apr,496202,445992,50210,10.1
2003,May,492038,443407,48631,9.9
2003,Jun,496252,443575,52677,10.6
2003,Jul,498425,445286,53139,10.7
2003,Aug,496327,443852,52475,10.6
2003,Sep,494818,442411,52407,10.6
2003,Oct,498269,444680,53589,10.8
2003,Nov,498747,445036,53711,10.8
2003,Dec,495627,445048,50579,10.2
2004,Jan,496776,441142,55634,11.2
2004,Feb,496786,443518,53268,10.7
2004,Mar,500827,447782,53045,10.6
2004,Apr,497650,451244,46406,9.3
2004,May,496808,452563,44245,8.9
2004,Jun,502440,455615,46825,9.3
2004,Jul,510160,462268,47892,9.4
2004,Aug,505901,462332,43569,8.6
2004,Sep,502132,460607,41525,8.3
2004,Oct,505582,463665,41917,8.3
2004,Nov,505040,464421,40619,8.0
2004,Dec,504661,464886,39775,7.9
2005,Jan,503986,463031,40955,8.1
2005,Feb,506700,465191,41509,8.2
2005,Mar,503806,466432,37374,7.4
2005,Apr,503925,467833,36092,7.2
2005,May,502387,467005,35382,7.0
2005,Jun,503290,467579,35711,7.1
2005,Jul,511505,471947,39558,7.7
2005,Aug,509030,472189,36841,7.2
2005,Sep,510094,469889,40205,7.9
2005,Oct,511760,471914,39846,7.8
2005,Nov,512147,470872,41275,8.1
2005,Dec,508111,471820,36291,7.1
2006,Jan,504020,466850,37170,7.4
2006,Feb,507755,468942,38813,7.6
2006,Mar,505808,470296,35512,7.0
2006,Apr,503538,469821,33717,6.7
2006,May,501438,469278,32160,6.4
2006,Jun,503242,470801,32441,6.4
