Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCT064400000000003,LAUCT064400000000004,LAUCT064400000000005,LAUCT064400000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Los Angeles city, CA",,,,
Area Type:,"Cities and towns above 25,000 population",,,,
State/Region/Division:,California,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,1807867,1688431,119436,6.6
2000,Feb,1817619,1702715,114904,6.3
2000,Mar,1814942,1703602,111340,6.1
2000,Apr,1813625,1709224,104401,5.8
2000,May,1808313,1701273,107040,5.9
2000,Jun,1809624,1701211,108413,6.0
2000,Jul,1823890,1704316,119574,6.6
2000,Aug,1826187,1709447,116740,6.4
2000,Sep,1823066,1715029,108037,5.9
2000,Oct,1826966,1724586,102380,5.6
2000,Nov,1830730,1730312,100418,5.5
2000,Dec,1835736,1742153,93583,5.1
2001,Jan,1839826,1730238,109588,6.0
2001,Feb,1843577,1742603,100974,5.5
2001,Mar,1851101,1746242,104859,5.7
2001,Apr,1837609,1734690,102919,5.6
2001,May,1824484,1725223,99261,5.4
2001,Jun,1827823,1715702,112121,6.1
2001,Jul,1846381,1721038,125343,6.8
2001,Aug,1839752,1712517,127235,6.9
2001,Sep,1847523,1725345,122178,6.6
2001,Oct,1858761,1729957,128804,6.9
2001,Nov,1860136,1727968,132168,7.1
2001,Dec,1863981,1733788,130193,7.0
2002,Jan,1849982,1704530,145452,7.9
2002,Feb,1863322,1724458,138864,7.5
2002,Mar,1859291,1718542,140749,7.6
2002,Apr,1851201,1711727,139474,7.5
2002,May,1843181,1708155,135026,7.3
2002,Jun,1842487,1698428,144059,7.8
2002,Jul,1853201,1702009,151192,8.2
2002,Aug,1849861,1707819,142042,7.7
2002,Sep,1853756,1721265,132491,7.1
2002,Oct,1853359,1723176,130183,7.0
2002,Nov,1850553,1717562,132991,7.2
2002,Dec,1850404,1719314,131090,7.1
2003,Jan,1845333,1701808,143525,7.8
2003,Feb,1853535,1715258,138277,7.5
2003,Mar,1850028,1714460,135568,7.3
2003,Apr,1846638,1711800,134838,7.3
2003,May,1839926,1703787,136139,7.4
2003,Jun,1848925,1695965,152960,8.3
2003,Jul,1853587,1695771,157816,8.5
2003,Aug,1847767,1697006,150761,8.2
2003,Sep,1842112,1695876,146236,7.9
2003,Oct,1849573,1706585,142988,7.7
2003,Nov,1850398,1708846,141552,7.6
2003,Dec,1841481,1712248,129233,7.0
2004,Jan,1844853,1701743,143110,7.8
2004,Feb,1849350,1716026,133324,7.2
2004,Mar,1852228,1712960,139268,7.5
2004,Apr,1847104,1713833,133271,7.2
2004,May,1843210,1711182,132028,7.2
2004,Jun,1844724,1705975,138749,7.5
2004,Jul,1862616,1717639,144977,7.8
2004,Aug,1850333,1717280,133053,7.2
2004,Sep,1846525,1719321,127204,6.9
2004,Oct,1856500,1730391,126109,6.8
2004,Nov,1864809,1738245,126564,6.8
2004,Dec,1860277,1739275,121002,6.5
2005,Jan,1849689,1723475,126214,6.8
2005,Feb,1860290,1736131,124159,6.7
2005,Mar,1853285,1738638,114647,6.2
2005,Apr,1857308,1746488,110820,6.0
2005,May,1852434,1745819,106615,5.8
2005,Jun,1848887,1740719,108168,5.9
2005,Jul,1864006,1749434,114572,6.1
2005,Aug,1857258,1754183,103075,5.5
2005,Sep,1861015,1756907,104108,5.6
2005,Oct,1868989,1766338,102651,5.5
2005,Nov,1877787,1766422,111365,5.9
2005,Dec,1873651,1769833,103818,5.5
2006,Jan,1864931,1755594,109337,5.9
2006,Feb,1877868,1769053,108815,5.8
2006,Mar,1870519,1771908,98611,5.3
2006,Apr,1866550,1770629,95921,5.1
2006,May,1861683,1765295,96388,5.2
2006,Jun,1858697,1761077,97620,5.3
2006,Jul,1874112,1763717,110395,5.9
2006,Aug,1867068,1763372,103696,5.6
2006,Sep,1863632,1766699,96933,5.2
2006,Oct,1868052,1778270,89782,4.8
2006,Nov,1876947,1782138,94809,5.1
2006,Dec,1882097,1789470,92627,4.9
2007,Jan,1876983,1767816,109167,5.8
2007,Feb,1882360,1779330,103030,5.5
2007,Mar,1884321,1785174,99147,5.3
2007,Apr,1877593,1778809,98784,5.3
2007,May,1873528,1778734,94794,5.1
2007,Jun,1883163,1779469,103694,5.5
2007,Jul,1903775,1785344,118431,6.2
2007,Aug,1893393,1781725,111668,5.9
2007,Sep,1902389,1791053,111336,5.9
2007,Oct,1900479,1790749,109730,5.8
2007,Nov,1911712,1798149,113563,5.9
2007,Dec,1914067,1793503,120564,6.3
2008,Jan,1903495,1770388,133107,7.0
2008,Feb,1905006,1776919,128087,6.7
2008,Mar,1908780,1776248,132532,6.9
2008,Apr,1907036,1777237,129799,6.8
2008,May,1910085,1767182,142903,7.5
2008,Jun,1912538,1758769,153769,8.0
