Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN060370000000003,LAUCN060370000000004,LAUCN060370000000005,LAUCN060370000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Los Angeles County, CA",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,California,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,4643419,4367182,276237,5.9
2000,Feb,4669882,4404129,265753,5.7
2000,Mar,4663935,4406423,257512,5.5
2000,Apr,4662430,4420966,241464,5.2
2000,May,4647966,4400400,247566,5.3
2000,Jun,4650982,4400239,250743,5.4
2000,Jul,4684824,4408268,276556,5.9
2000,Aug,4691543,4421542,270001,5.8
2000,Sep,4685854,4435981,249873,5.3
2000,Oct,4697490,4460700,236790,5.0
2000,Nov,4707762,4475510,232252,4.9
2000,Dec,4722577,4506135,216442,4.6
2001,Jan,4728779,4475318,253461,5.4
2001,Feb,4740837,4507300,233537,4.9
2001,Mar,4759232,4516712,242520,5.1
2001,Apr,4724868,4486833,238035,5.0
2001,May,4691925,4462348,229577,4.9
2001,Jun,4697040,4437721,259319,5.5
2001,Jul,4741423,4451524,289899,6.1
2001,Aug,4723758,4429484,294274,6.2
2001,Sep,4745239,4462661,282578,6.0
2001,Oct,4772491,4474589,297902,6.2
2001,Nov,4775131,4469448,305683,6.4
2001,Dec,4785617,4484500,301117,6.3
2002,Jan,4745231,4408824,336407,7.1
2002,Feb,4781541,4460369,321172,6.7
2002,Mar,4770596,4445066,325530,6.8
2002,Apr,4750021,4427439,322582,6.8
2002,May,4730492,4418199,312293,6.6
2002,Jun,4726228,4393041,333187,7.0
2002,Jul,4751986,4402303,349683,7.4
2002,Aug,4745852,4417330,328522,6.9
2002,Sep,4758539,4452109,306430,6.4
2002,Oct,4758143,4457052,301091,6.3
2002,Nov,4750117,4442531,307586,6.5
2002,Dec,4750255,4447063,303192,6.4
2003,Jan,4733734,4401782,331952,7.0
2003,Feb,4756383,4436570,319813,6.7
2003,Mar,4748056,4434509,313547,6.6
2003,Apr,4739485,4427628,311857,6.6
2003,May,4721771,4406904,314867,6.7
2003,Jun,4740441,4386671,353770,7.5
2003,Jul,4751170,4386168,365002,7.7
2003,Aug,4738047,4389362,348685,7.4
2003,Sep,4724662,4386442,338220,7.2
2003,Oct,4744849,4414140,330709,7.0
2003,Nov,4747373,4419987,327386,6.9
2003,Dec,4727682,4428787,298895,6.3
2004,Jan,4732605,4401617,330988,7.0
2004,Feb,4746916,4438559,308357,6.5
2004,Mar,4752732,4430627,322105,6.8
2004,Apr,4741126,4432889,308237,6.5
2004,May,4731386,4426026,305360,6.5
2004,Jun,4733466,4412561,320905,6.8
2004,Jul,4778038,4442732,335306,7.0
2004,Aug,4749533,4441801,307732,6.5
2004,Sep,4741283,4447081,294202,6.2
2004,Oct,4767382,4475711,291671,6.1
2004,Nov,4788749,4496027,292722,6.1
2004,Dec,4778554,4498695,279859,5.9
2005,Jan,4749742,4457827,291915,6.1
2005,Feb,4777721,4490559,287162,6.0
2005,Mar,4762205,4497047,265158,5.6
2005,Apr,4773660,4517351,256309,5.4
2005,May,4762205,4515621,246584,5.2
2005,Jun,4752602,4502428,250174,5.3
2005,Jul,4789956,4524969,264987,5.5
2005,Aug,4775643,4537249,238394,5.0
2005,Sep,4785084,4544298,240786,5.0
2005,Oct,4806106,4568691,237415,4.9
2005,Nov,4826476,4568908,257568,5.3
2005,Dec,4817846,4577731,240115,5.0
2006,Jan,4793782,4540903,252879,5.3
2006,Feb,4827387,4575715,251672,5.2
2006,Mar,4811168,4583097,228071,4.7
2006,Apr,4801641,4579789,221852,4.6
2006,May,4788924,4565993,222931,4.7
2006,Jun,4780864,4555085,225779,4.7
2006,Jul,4817236,4561911,255325,5.3
2006,Aug,4800853,4561022,239831,5.0
2006,Sep,4793816,4569624,224192,4.7
2006,Oct,4807207,4599554,207653,4.3
2006,Nov,4828837,4609560,219277,4.5
2006,Dec,4842753,4628523,214230,4.4
2007,Jan,4825004,4572517,252487,5.2
2007,Feb,4840587,4602294,238293,4.9
2007,Mar,4846725,4617413,229312,4.7
2007,Apr,4829418,4600948,228470,4.7
2007,May,4819998,4600756,219242,4.5
2007,Jun,4842486,4602656,239830,5.0
2007,Jul,4891762,4617851,273911,5.6
2007,Aug,4866762,4608493,258269,5.3
2007,Sep,4890119,4632617,257502,5.3
2007,Oct,4885621,4631833,253788,5.2
2007,Nov,4913628,4650974,262654,5.3
2007,Dec,4917798,4638954,278844,5.7
2008,Jan,4887021,4579167,307854,6.3
2008,Feb,4892307,4596061,296246,6.1
2008,Mar,4900849,4594325,306524,6.3
2008,Apr,4897089,4596884,300205,6.1
2008,May,4901385,4570872,330513,6.7
2008,Jun,4904758,4549116,355642,7.3
2008,Jul,4963103,4555760,407343,8.2
2008,Aug,4950616,4530979,419637,8.5
2008,Sep,4953862,4536671,417191,8.4
2008,Oct,4968162,4541998,426164,8.6
2008,Nov,4965274,4519949,445325,9.0
2008,Dec,4963075,4489450,473625,9.5
2009,Jan,4934872,4403610,531262,10.8
2009,Feb,4953723,4413251,540472,10.9
2009,Mar,4941330,4393549,547781,11.1
2009,Apr,4923682,4388902,534780,10.9
2009,May,4912852,4361855,550997,11.2
2009,Jun,4914584,4338338,576246,11.7
2009,Jul,4951045,4338912,612133,12.4
2009,Aug,4915665,4312737,602928,12.3
2009,Sep,4892475,4300548,591927,12.1
2009,Oct,4883057,4296720,586337,12.0
2009,Nov,4891290,4308564,582726,11.9
2009,Dec,4861847,4285194,576653,11.9
2010,Jan,4879071,4256735,622336,12.8
2010,Feb,4893063,4285347,607716,12.4
2010,Mar,4893720,4289973,603747,12.3
2010,Apr,4917070,4325525,591545,12.0
2010,May,4895147,4308401,586746,12.0
2010,Jun,4882339,4283412,598927,12.3
2010,Jul,4943281,4291655,651626,13.2
2010,Aug,4944672,4299313,645359,13.1
2010,Sep,4938565,4317176,621389,12.6
2010,Oct,4930907,4318155,612752,12.4
2010,Nov,4950430,4321301,629129,12.7
2010,Dec,4940228,4330292,609936,12.3
2011,Jan,4923739,4297566,626173,12.7
2011,Feb,4938116,4332180,605936,12.3
2011,Mar,4932282,4340637,591645,12.0
2011,Apr,4915969,4338708,577261,11.7
