Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN360610000000003,LAUCN360610000000004,LAUCN360610000000005,LAUCN360610000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"New York County, NY",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,New York,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,848523,800997,47526,5.6
2000,Feb,853974,807139,46835,5.5
2000,Mar,856293,809661,46632,5.4
2000,Apr,853502,812376,41126,4.8
2000,May,851145,809103,42042,4.9
2000,Jun,853771,812586,41185,4.8
2000,Jul,858784,815287,43497,5.1
2000,Aug,855827,812517,43310,5.1
2000,Sep,853660,812509,41151,4.8
2000,Oct,858986,816334,42652,5.0
2000,Nov,859024,816887,42137,4.9
2000,Dec,860805,821444,39361,4.6
2001,Jan,867033,823419,43614,5.0
2001,Feb,870478,826728,43750,5.0
2001,Mar,870651,828060,42591,4.9
2001,Apr,861415,822750,38665,4.5
2001,May,857818,818485,39333,4.6
2001,Jun,860890,817927,42963,5.0
2001,Jul,872914,826894,46020,5.3
2001,Aug,869806,819092,50714,5.8
2001,Sep,869426,816113,53313,6.1
2001,Oct,865487,806095,59392,6.9
2001,Nov,866005,804268,61737,7.1
2001,Dec,867783,804215,63568,7.3
2002,Jan,865917,796971,68946,8.0
2002,Feb,873884,805562,68322,7.8
2002,Mar,873224,804936,68288,7.8
2002,Apr,869875,804288,65587,7.5
2002,May,866536,803826,62710,7.2
2002,Jun,868315,803605,64710,7.5
2002,Jul,874369,808593,65776,7.5
2002,Aug,870430,807827,62603,7.2
2002,Sep,870001,807010,62991,7.2
2002,Oct,875171,807742,67429,7.7
2002,Nov,873046,803568,69478,8.0
2002,Dec,872525,803438,69087,7.9
2003,Jan,875980,803125,72855,8.3
2003,Feb,876891,806506,70385,8.0
2003,Mar,871048,805375,65673,7.5
2003,Apr,866622,804074,62548,7.2
2003,May,861273,799415,61858,7.2
2003,Jun,867395,799717,67678,7.8
2003,Jul,868307,802800,65507,7.5
2003,Aug,864164,800216,63948,7.4
2003,Sep,862573,797619,64954,7.5
2003,Oct,865674,801709,63965,7.4
2003,Nov,866152,802351,63801,7.4
2003,Dec,861523,802371,59152,6.9
2004,Jan,867318,802437,64881,7.5
2004,Feb,868208,806758,61450,7.1
2004,Mar,876776,814517,62259,7.1
2004,Apr,875048,820813,54235,6.2
2004,May,876662,823212,53450,6.1
2004,Jun,885837,828765,57072,6.4
2004,Jul,896592,840865,55727,6.2
2004,Aug,892516,840983,51533,5.8
2004,Sep,888142,837844,50298,5.7
2004,Oct,894158,843406,50752,5.7
2004,Nov,893123,844781,48342,5.4
2004,Dec,892439,845629,46810,5.2
2005,Jan,895656,846531,49125,5.5
2005,Feb,900357,850479,49878,5.5
2005,Mar,896348,852747,43601,4.9
2005,Apr,898008,855309,42699,4.8
2005,May,896121,853794,42327,4.7
2005,Jun,897967,854845,43122,4.8
2005,Jul,908772,862832,45940,5.1
2005,Aug,905967,863271,42696,4.7
2005,Sep,907551,859068,48483,5.3
2005,Oct,910042,862770,47272,5.2
2005,Nov,909523,860867,48656,5.3
2005,Dec,906287,862600,43687,4.8
2006,Jan,904703,860898,43805,4.8
2006,Feb,910172,864755,45417,5.0
2006,Mar,908433,867252,41181,4.5
2006,Apr,906613,866375,40238,4.4
2006,May,903788,865375,38413,4.3
2006,Jun,907165,868182,38983,4.3
2006,Jul,915339,872992,42347,4.6
2006,Aug,910154,871902,38252,4.2
2006,Sep,906257,869880,36377,4.0
2006,Oct,911019,876068,34951,3.8
2006,Nov,912260,876545,35715,3.9
2006,Dec,913333,878931,34402,3.8
2007,Jan,915029,872246,42783,4.7
2007,Feb,916528,876294,40234,4.4
2007,Mar,914722,879013,35709,3.9
2007,Apr,909814,874273,35541,3.9
2007,May,909678,872202,37476,4.1
2007,Jun,915997,875327,40670,4.4
2007,Jul,926141,881006,45135,4.9
2007,Aug,916712,876602,40110,4.4
2007,Sep,917651,877606,40045,4.4
2007,Oct,921410,880757,40653,4.4
2007,Nov,923211,884640,38571,4.2
2007,Dec,923902,882770,41132,4.5
2008,Jan,926332,881122,45210,4.9
2008,Feb,927836,884075,43761,4.7
2008,Mar,926678,886399,40279,4.3
2008,Apr,924873,888532,36341,3.9
2008,May,923389,883560,39829,4.3
2008,Jun,927338,885812,41526,4.5
2008,Jul,937120,891811,45309,4.8
2008,Aug,935496,888378,47118,5.0
2008,Sep,934838,886613,48225,5.2
2008,Oct,939308,888643,50665,5.4
2008,Nov,937930,885272,52658,5.6
2008,Dec,938005,879987,58018,6.2
2009,Jan,932129,864410,67719,7.3
2009,Feb,937630,863274,74356,7.9
2009,Mar,933595,858856,74739,8.0
2009,Apr,928178,858242,69936,7.5
2009,May,929294,851506,77788,8.4
