Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCT485338800000003,LAUCT485338800000004,LAUCT485338800000005,LAUCT485338800000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Odessa city, TX",,,,
Area Type:,"Cities and towns above 25,000 population",,,,
State/Region/Division:,Texas,,,,
Years:,2000 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2000,Jan,42597,39904,2693,6.3
2000,Feb,42755,40150,2605,6.1
2000,Mar,42772,40323,2449,5.7
2000,Apr,42811,40691,2120,5.0
2000,May,42549,40422,2127,5.0
2000,Jun,42249,39914,2335,5.5
2000,Jul,41889,39632,2257,5.4
2000,Aug,42288,40137,2151,5.1
2000,Sep,42473,40533,1940,4.6
2000,Oct,42747,41024,1723,4.0
2000,Nov,42807,41052,1755,4.1
2000,Dec,42684,41149,1535,3.6
2001,Jan,42472,40582,1890,4.4
2001,Feb,42756,41012,1744,4.1
2001,Mar,42845,40996,1849,4.3
2001,Apr,43110,41303,1807,4.2
2001,May,43107,41299,1808,4.2
2001,Jun,43269,41038,2231,5.2
2001,Jul,43586,41446,2140,4.9
2001,Aug,42888,40704,2184,5.1
2001,Sep,43414,41391,2023,4.7
2001,Oct,43957,41952,2005,4.6
2001,Nov,44106,41977,2129,4.8
2001,Dec,44283,42122,2161,4.9
2002,Jan,43856,41284,2572,5.9
2002,Feb,44399,41889,2510,5.7
2002,Mar,44382,41781,2601,5.9
2002,Apr,44836,42207,2629,5.9
2002,May,44865,42284,2581,5.8
2002,Jun,45011,41954,3057,6.8
2002,Jul,44685,41673,3012,6.7
2002,Aug,44327,41353,2974,6.7
2002,Sep,45118,42196,2922,6.5
2002,Oct,45270,42475,2795,6.2
2002,Nov,44911,42024,2887,6.4
2002,Dec,44956,42178,2778,6.2
2003,Jan,44889,41855,3034,6.8
2003,Feb,44987,42064,2923,6.5
2003,Mar,45162,42294,2868,6.4
2003,Apr,45227,42440,2787,6.2
2003,May,45170,42381,2789,6.2
2003,Jun,45772,42484,3288,7.2
2003,Jul,45765,42731,3034,6.6
2003,Aug,45560,42566,2994,6.6
2003,Sep,45596,42768,2828,6.2
2003,Oct,45898,43254,2644,5.8
2003,Nov,46047,43445,2602,5.7
2003,Dec,46316,43926,2390,5.2
2004,Jan,45827,43012,2815,6.1
2004,Feb,45901,43291,2610,5.7
2004,Mar,46031,43422,2609,5.7
2004,Apr,45825,43415,2410,5.3
2004,May,45985,43550,2435,5.3
2004,Jun,46225,43451,2774,6.0
2004,Jul,46125,43494,2631,5.7
2004,Aug,45919,43469,2450,5.3
2004,Sep,45838,43501,2337,5.1
2004,Oct,46294,43974,2320,5.0
2004,Nov,46359,44071,2288,4.9
2004,Dec,46448,44302,2146,4.6
2005,Jan,45915,43536,2379,5.2
2005,Feb,46059,43713,2346,5.1
2005,Mar,45972,43812,2160,4.7
2005,Apr,45821,43820,2001,4.4
2005,May,46008,43928,2080,4.5
2005,Jun,46398,44037,2361,5.1
2005,Jul,46675,44427,2248,4.8
2005,Aug,46937,44742,2195,4.7
2005,Sep,47159,45191,1968,4.2
2005,Oct,47664,45791,1873,3.9
2005,Nov,47690,45791,1899,4.0
2005,Dec,48003,46189,1814,3.8
2006,Jan,47670,45772,1898,4.0
2006,Feb,48113,46167,1946,4.0
2006,Mar,48366,46456,1910,3.9
2006,Apr,48304,46418,1886,3.9
2006,May,48462,46547,1915,4.0
2006,Jun,48732,46541,2191,4.5
2006,Jul,49224,47088,2136,4.3
2006,Aug,49536,47547,1989,4.0
2006,Sep,49490,47676,1814,3.7
2006,Oct,49715,48023,1692,3.4
2006,Nov,49794,48068,1726,3.5
2006,Dec,49545,48039,1506,3.0
2007,Jan,49234,47461,1773,3.6
2007,Feb,49044,47359,1685,3.4
2007,Mar,49037,47477,1560,3.2
2007,Apr,49134,47646,1488,3.0
2007,May,49313,47788,1525,3.1
2007,Jun,50115,48224,1891,3.8
2007,Jul,50498,48652,1846,3.7
2007,Aug,50072,48369,1703,3.4
2007,Sep,50504,48769,1735,3.4
2007,Oct,50667,49058,1609,3.2
2007,Nov,51177,49558,1619,3.2
2007,Dec,51108,49524,1584,3.1
2008,Jan,51616,49897,1719,3.3
2008,Feb,51576,50022,1554,3.0
2008,Mar,51894,50358,1536,3.0
2008,Apr,52046,50634,1412,2.7
2008,May,52266,50652,1614,3.1
2008,Jun,52959,50970,1989,3.8
2008,Jul,53511,51500,2011,3.8
2008,Aug,53542,51554,1988,3.7
2008,Sep,54392,52479,1913,3.5
2008,Oct,54720,52865,1855,3.4
2008,Nov,54396,52472,1924,3.5
2008,Dec,54344,52350,1994,3.7
2009,Jan,54269,51756,2513,4.6
2009,Feb,53992,51238,2754,5.1
2009,Mar,53877,50721,3156,5.9
2009,Apr,53185,49837,3348,6.3
2009,May,53180,48899,4281,8.1
2009,Jun,53672,48511,5161,9.6
2009,Jul,53889,48666,5223,9.7
2009,Aug,53154,48096,5058,9.5
2009,Sep,53349,48474,4875,9.1
2009,Oct,53327,48624,4703,8.8
2009,Nov,53523,49004,4519,8.4
2009,Dec,53394,49009,4385,8.2
2010,Jan,49736,45132,4604,9.3
2010,Feb,49975,45611,4364,8.7
2010,Mar,50190,45950,4240,8.4
2010,Apr,51085,46879,4206,8.2
2010,May,50737,46624,4113,8.1
2010,Jun,50794,46492,4302,8.5
2010,Jul,51235,47043,4192,8.2
2010,Aug,51205,47128,4077,8.0
2010,Sep,51624,47872,3752,7.3
2010,Oct,51701,48019,3682,7.1
2010,Nov,52071,48313,3758,7.2
2010,Dec,52172,48681,3491,6.7
2011,Jan,52981,49368,3613,6.8
2011,Feb,53268,49843,3425,6.4
2011,Mar,53809,50490,3319,6.2
2011,Apr,54089,50919,3170,5.9
2011,May,54470,51274,3196,5.9
2011,Jun,54853,51211,3642,6.6
2011,Jul,55242,51694,3548,6.4
2011,Aug,55270,51857,3413,6.2
2011,Sep,55719,52457,3262,5.9
2011,Oct,56227,53192,3035,5.4
2011,Nov,56214,53450,2764,4.9
2011,Dec,56264,53675,2589,4.6
2012,Jan,56870,54108,2762,4.9
2012,Feb,57212,54549,2663,4.7
2012,Mar,57531,54954,2577,4.5
2012,Apr,57809,55382,2427,4.2
2012,May,58234,55670,2564,4.4
2012,Jun,58294,55386,2908,5.0
2012,Jul,58854,55956,2898,4.9
2012,Aug,58690,56000,2690,4.6
2012,Sep,59528,57073,2455,4.1
2012,Oct,59684,57303,2381,4.0
2012,Nov,59087,56763,2324,3.9
2012,Dec,59029,56712,2317,3.9
2013,Jan,59842,57114,2728,4.6
2013,Feb,59863,57353,2510,4.2
2013,Mar,59450,57053,2397,4.0
2013,Apr,59976,57677,2299,3.8
2013,May,60183,57671,2512,4.2
2013,Jun,60030,57192,2838,4.7
2013,Jul,60305,57570,2735,4.5
2013,Aug,59924,57349,2575,4.3
2013,Sep,60439,57975,2464,4.1
2013,Oct,59960,57577,2383,4.0
2013,Nov,60398,58141,2257,3.7
2013,Dec,60550,58436,2114,3.5
2014,Jan,61497,59244,2253,3.7
2014,Feb,62003,59749,2254,3.6
2014,Mar,62161,59982,2179,3.5
2014,Apr,62164,60340,1824,2.9
2014,May,62402,60332,2070,3.3
2014,Jun,62976,60731,2245,3.6
2014,Jul,63759,61402,2357,3.7
2014,Aug,63652,61477,2175,3.4
2014,Sep,64308,62332,1976,3.1
2014,Oct,64613,62731,1882,2.9
2014,Nov,64675,62875,1800,2.8
2014,Dec,64602,62879,1723,2.7
2015,Jan,64223,62153,2070,3.2
2015,Feb,63401,61233,2168,3.4
2015,Mar,62687,60411,2276,3.6
2015,Apr,61992,59712,2280,3.7
2015,May,61316,58744,2572,4.2
2015,Jun,61065,58299,2766,4.5
2015,Jul,60735,57929,2806,4.6
2015,Aug,60150,57518,2632,4.4
2015,Sep,59971,57272,2699,4.5
2015,Oct,59512,56767,2745,4.6
2015,Nov,59245,56480,2765,4.7
2015,Dec,59106,56419,2687,4.5
2016,Jan,59424,56464,2960,5.0
2016,Feb,59496,56341,3155,5.3
2016,Mar,59020,55599,3421,5.8
2016,Apr,58593,55124,3469,5.9
2016,May,57903,54493,3410,5.9
2016,Jun,57917,54067,3850,6.6
2016,Jul,58345,54465,3880,6.7
2016,Aug,58286,54438,3848,6.6
2016,Sep,58584,54889,3695,6.3
2016,Oct,58110,54787,3323,5.7
2016,Nov,58200,55159,3041,5.2
2016,Dec,58228,55304,2924,5.0
2017,Jan,58021,54956,3065,5.3
2017,Feb,58568,55636,2932,5.0
2017,Mar,58555,55923,2632,4.5
2017,Apr,58944,56571,2373,4.0
2017,May,59062,56763,2299,3.9
2017,Jun,59427,57061,2366,4.0
2017,Jul,60657,58337,2320,3.8
2017,Aug,60646,58317,2329,3.8
2017,Sep,61723,59670,2053,3.3
2017,Oct,61679,59805,1874,3.0
2017,Nov,62399,60481,1918,3.1
2017,Dec,62296,60507,1789,2.9
2018,Jan,62791,60845,1946,3.1
2018,Feb,63832,61930,1902,3.0
2018,Mar,64220,62398,1822,2.8
2018,Apr,65099,63504,1595,2.5
2018,May,65126,63566,1560,2.4
2018,Jun,65533,63698,1835,2.8
2018,Jul,66287,64542,1745,2.6
2018,Aug,65805,64098,1707,2.6
2018,Sep,66939,65347,1592,2.4
2018,Oct,67052,65551,1501,2.2
2018,Nov,67513,66012,1501,2.2
2018,Dec,67861,66307,1554,2.3
2019,Jan,67582,65826,1756,2.6
2019,Feb,68152,66528,1624,2.4
2019,Mar,67687,66119,1568,2.3
2019,Apr,67684,66368,1316,1.9
2019,May,67354,65917,1437,2.1
