Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU03032342,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,"(unadj) Unemployed - Asian, women",,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,,
Race:,Asian,,,,,,,,,,,,
Sex:,Women,,,,,,,,,,,,
Years:,2000 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,123,95,103,82,89,163,124,95,98,94,105,81,104
2001,102,88,91,99,88,146,128,186,155,133,161,176,129
2002,144,149,140,161,169,208,176,173,179,192,194,175,172
2003,155,176,170,160,131,193,185,182,166,129,136,164,162
2004,129,146,126,139,115,136,120,92,104,144,112,128,124
2005,123,136,109,72,127,119,175,109,137,95,112,99,118
2006,93,91,88,108,88,112,97,103,91,95,99,75,95
2007,107,77,92,109,72,102,99,123,120,131,151,135,110
2008,93,96,123,90,152,156,124,150,86,122,159,149,125
2009,162,183,171,172,190,285,259,241,243,217,216,254,216
2010,247,225,241,203,231,271,266,235,206,242,254,233,238
2011,234,244,269,240,255,243,258,231,281,263,230,247,250
2012,274,253,215,192,195,245,245,222,196,225,258,287,234
2013,242,245,166,199,169,198,220,191,200,175,187,146,195
2014,160,237,206,194,197,167,182,182,198,226,178,150,190
2015,154,158,116,149,154,182,187,156,158,131,164,165,156
2016,173,174,199,172,152,186,186,220,203,144,125,133,172
2017,165,139,138,138,188,191,177,202,166,139,132,99,156
2018,149,162,136,143,98,163,148,150,161,171,137,133,146
2019,133,191,155,107,110,109,144,148,89,128,138,132,132
2020,181,148,218,742,,,,,,,,,
