Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU03000004,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - White Men,,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,,
Race:,White,,,,,,,,,,,,
Sex:,Men,,,,,,,,,,,,
Years:,1954 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1954,1972,2229,2268,2215,1976,1894,1935,1855,1817,1546,1569,1686,1913
1955,2068,1973,1912,1825,1390,1464,1341,1152,1007,1047,1191,1364,1478
1956,1633,1743,1697,1412,1365,1483,1322,1071,1004,985,1237,1434,1366
1957,1703,1701,1543,1425,1280,1516,1372,1200,1209,1247,1584,1937,1477
1958,2534,2890,3031,2807,2571,2723,2687,2392,2058,1940,1965,2259,2489
1959,2619,2626,2317,1804,1613,1788,1674,1558,1551,1538,1878,1866,1903
1960,2226,2105,2276,1905,1691,2037,1894,1849,1660,1761,1995,2451,1988
1961,2999,3117,2955,2592,2388,2516,2388,2125,1841,1774,1907,2174,2398
1962,2402,2371,2258,1913,1752,2009,1760,1739,1539,1485,1786,1965,1915
1963,2440,2637,2387,2071,1863,2047,1889,1710,1471,1463,1752,1979,1976
1964,2286,2257,2162,1853,1618,2027,1616,1558,1423,1405,1458,1684,1779
1965,1949,2045,1843,1717,1558,1777,1508,1390,1173,1170,1161,1378,1556
1966,1589,1538,1437,1217,1163,1449,1217,1099,977,934,1039,1234,1241
1967,1396,1400,1292,1170,1015,1458,1268,1118,977,1028,1142,1231,1208
1968,1392,1463,1309,1034,930,1438,1231,1037,930,924,972,1051,1142
1969,1268,1268,1212,1022,907,1233,1281,1021,1072,1086,1063,1214,1137
1970,1621,1823,1753,1639,1545,2028,2031,1817,1760,1858,2068,2348,1857
1971,2716,2727,2561,2230,2073,2416,2370,2194,1985,1938,2156,2340,2309
1972,2723,2721,2575,2238,1954,2315,2107,1975,1850,1854,1844,1920,2173
1973,2223,2296,2112,1867,1661,1950,1759,1637,1541,1471,1664,1847,1836
1974,2307,2387,2116,1968,1769,2176,2096,1968,1989,2044,2383,2836,2169
1975,3888,4076,4074,3781,3584,3914,3733,3358,3252,3165,3300,3397,3627
1976,3913,3797,3579,3212,2904,3307,3255,2979,2877,2858,3136,3278,3258
1977,3688,3891,3474,2960,2665,3012,2742,2529,2329,2363,2456,2488,2883
1978,2961,3061,2900,2351,2092,2326,2339,2160,2070,2111,2133,2425,2411
1979,2809,2781,2643,2283,2034,2339,2386,2321,2218,2188,2370,2491,2405
1980,3197,3162,3191,3211,3383,3721,3735,3504,3208,3195,3335,3301,3345
1981,4121,4100,3895,3374,3335,3506,3202,3137,3066,3287,3729,4212,3580
1982,4919,4938,4924,4633,4432,4823,4771,4610,4610,4755,5231,5500,4846
1983,6003,6152,5842,5269,4932,4896,4540,4370,4123,4007,4052,4119,4859
1984,4589,4393,4127,3720,3396,3444,3355,3145,3126,3088,3298,3518,3600
1985,4090,3982,3734,3464,3173,3601,3430,3123,2970,3090,3161,3291,3426
1986,3723,4033,3820,3409,3364,3507,3378,3017,3104,3109,3336,3390,3433
1987,4002,3921,3678,3190,3046,3162,2906,2737,2590,2729,2797,2826,3132
1988,3454,3196,3141,2622,2627,2674,2600,2611,2451,2477,2635,2709,2766
1989,3295,3045,2719,2595,2393,2545,2441,2331,2443,2393,2663,2669,2636
1990,3305,3247,3021,2896,2691,2709,2725,2692,2660,2755,3119,3399,2935
1991,4121,4415,4367,3783,3694,3831,3799,3496,3559,3471,3787,3985,3859
1992,4873,5018,4701,4142,4148,4392,4068,3855,3835,3652,3905,3923,4209
1993,4594,4662,4447,3877,3701,3884,3785,3484,3327,3424,3272,3485,3828
1994,4216,4193,3924,3488,3103,3171,3224,2901,2748,2737,2724,2873,3275
1995,3591,3387,3296,3083,3011,2950,2868,2718,2680,2601,2896,2909,2999
1996,3578,3497,3405,3018,2895,2844,2854,2437,2482,2447,2637,2655,2896
1997,3438,3251,3112,2694,2318,2637,2544,2358,2322,2328,2279,2417,2641
1998,2945,2856,2868,2215,2248,2471,2381,2182,2275,2196,2138,2394,2431
1999,2797,2827,2452,2204,2179,2361,2235,2148,2009,1958,1963,2153,2274
2000,2563,2656,2414,2089,1970,2151,2094,1969,2003,1932,2059,2226,2177
2001,2907,2870,2775,2493,2325,2698,2527,2570,2539,2861,3157,3325,2754
2002,4063,3912,3812,3443,3190,3470,3365,3172,3100,3083,3379,3523,3459
2003,4286,4110,3917,3646,3451,3867,3700,3449,3255,3127,3490,3418,3643
2004,3932,3865,3847,3344,3260,3355,3031,2957,2828,2847,2986,3136,3282
2005,3567,3646,3422,2867,2755,2835,2718,2614,2691,2551,2665,2837,2931
2006,3226,3267,3014,2683,2668,2766,2654,2590,2307,2302,2489,2798,2730
2007,3356,3370,2943,2650,2584,2849,2822,2703,2741,2593,2729,3090,2869
2008,3602,3577,3473,3035,3281,3504,3709,3570,3765,3933,4278,4994,3727
