Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LNU03000005,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - White Women,,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,,
Race:,White,,,,,,,,,,,,
Sex:,Women,,,,,,,,,,,,
Years:,1954 to 2020,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1954,982,1013,1011,1016,1001,1071,1016,939,977,785,865,674,946
1955,902,785,741,720,748,894,769,742,811,727,758,692,774
1956,777,731,798,746,841,979,979,762,742,659,812,692,793
1957,866,790,738,694,825,970,863,777,781,737,916,779,812
1958,1085,1159,1099,1249,1314,1488,1378,1266,1199,1066,1059,933,1191
1959,1097,1092,1053,1038,996,1210,1105,982,994,1010,1060,878,1043
1960,1043,980,1016,935,991,1295,1164,1084,1047,1105,1146,1110,1077
1961,1294,1391,1412,1312,1320,1741,1554,1312,1344,1270,1206,983,1345
1962,1216,1126,1104,1020,1058,1300,1192,1199,1219,1106,1151,944,1137
1963,1203,1200,1126,1130,1254,1570,1362,1203,1257,1196,1244,1035,1232
1964,1289,1326,1246,1222,1191,1550,1177,1168,1148,1148,1156,1018,1220
1965,1169,1286,1126,1137,1093,1518,1114,1123,1085,1005,1111,854,1135
1966,996,956,924,965,1082,1400,1088,1004,977,1008,964,809,1014
1967,1123,1122,1011,948,905,1394,1242,1195,1293,1277,1129,915,1130
1968,1062,1157,1005,940,907,1407,1261,1160,1153,1042,1048,866,1084
1969,1030,1111,1003,985,933,1400,1206,1236,1328,1216,1097,941,1123
1970,1182,1303,1329,1223,1238,1634,1587,1593,1773,1653,1756,1508,1482
1971,1793,1790,1758,1623,1526,1996,1866,1922,1942,1753,1842,1508,1777
1972,1716,1679,1681,1639,1570,2004,1967,1939,1899,1743,1552,1398,1733
1973,1640,1679,1540,1477,1375,1833,1702,1695,1737,1544,1580,1464,1606
1974,1777,1813,1728,1532,1576,2103,2023,1982,2254,1997,2218,2128,1927
1975,2921,2832,2835,2665,2718,3036,2933,2892,2827,2749,2614,2507,2794
1976,2829,2745,2598,2378,2237,2767,2795,2929,2853,2694,2627,2423,2656
1977,2767,2747,2694,2374,2239,2834,2608,2668,2730,2487,2460,2095,2558
1978,2458,2295,2170,2069,2099,2465,2504,2434,2490,2152,2217,2085,2287
1979,2315,2278,2224,1994,2020,2419,2276,2513,2405,2324,2219,2123,2260
1980,2430,2419,2255,2236,2424,2788,2776,2860,2672,2650,2570,2391,2540
1981,2848,2697,2556,2477,2649,2858,2861,2771,2873,2878,2940,2742,2762
1982,3126,3186,3088,3110,3233,3476,3607,3562,3561,3579,3690,3521,3395
1983,3769,3597,3372,3146,3263,3702,3359,3371,3204,2987,2860,2605,3270
1984,2910,2855,2768,2662,2721,2875,2876,2972,2830,2801,2567,2430,2772
1985,2954,2731,2781,2609,2757,2971,2931,2879,2870,2740,2543,2413,2765
1986,2740,2921,2754,2587,2696,2923,2853,2788,2772,2693,2564,2205,2708
1987,2623,2511,2427,2234,2317,2452,2472,2412,2443,2323,2234,1978,2369
1988,2355,2383,2044,1996,2083,2272,2348,2322,2331,2095,2056,1840,2177
1989,2218,1967,1945,2007,2093,2348,2457,2328,2152,2096,2077,1944,2135
1990,2271,2271,2084,2099,2133,2284,2393,2418,2422,2249,2250,2142,2251
1991,2653,2651,2565,2455,2687,2934,2900,2894,2706,2637,2673,2661,2701
1992,2894,2977,2876,2729,2766,3196,3347,3247,3137,2841,2776,2725,2959
1993,3033,2935,2717,2610,2808,3047,3002,2917,2847,2887,2657,2459,2827
1994,2907,2796,2726,2516,2484,2849,2843,2809,2669,2404,2324,2085,2617
1995,2539,2387,2345,2369,2367,2633,2783,2618,2472,2426,2364,2217,2460
1996,2702,2492,2345,2223,2423,2483,2616,2475,2297,2222,2344,2232,2404
1997,2475,2370,2278,1995,2163,2356,2398,2352,2274,1982,1907,1788,2195
1998,2281,2129,2111,1822,1886,2251,2142,2266,2009,2009,1974,1755,2053
1999,2214,2046,1999,1990,1859,2282,2194,2099,1993,1835,1852,1628,1999
2000,2024,1927,2043,1756,1902,2099,2176,2238,1937,1757,1801,1663,1944
2001,1996,2034,1998,1961,1945,2272,2418,2454,2344,2336,2407,2415,2215
2002,2802,2706,2632,2605,2616,2903,2979,2865,2643,2590,2457,2340,2678
2003,2692,2642,2655,2491,2668,2955,2935,2914,2739,2546,2440,2333,2668
2004,2818,2636,2687,2416,2394,2902,2896,2702,2502,2326,2356,2143,2565
2005,2456,2459,2242,2317,2357,2607,2703,2531,2502,2451,2294,2112,2419
2006,2379,2305,2135,2120,2106,2469,2640,2506,2381,2143,2152,1919,2271
2007,2358,2149,2010,2063,2073,2427,2646,2540,2348,2211,2222,2240,2274
2008,2470,2389,2379,2222,2531,2979,3098,3292,2794,2990,3058,3185,2782
2009,3753,3813,3925,3724,4032,4657,4790,4768,4438,4438,4286,4101,4227
